goalie_against,team,GP,AS_TOI,AS_TOI_Perc,last_team,all_teams,last_update,event_against,AS_xGA,AS_GA,AS_SA,AS_FA,AS_GSAx,AS_GAR,EV_TOI,EV_TOI_Perc,EV_xGA,EV_GA,EV_SA,EV_FA,EV_GSAx,EV_GAR,SH_TOI,SH_TOI_Perc,SH_xGA,SH_GA,SH_SA,SH_FA,SH_GSAx,SH_GAR,PP_TOI,PP_TOI_Perc,PP_xGA,PP_GA,PP_SA,PP_FA,PP_GSAx,PP_GAR,EV_WAR,SH_WAR,PP_WAR,AS_WAR
ANDREI VASILEVSKIY,T.B,63,3702.85,0.9923974753543304,T.B,T.B,2025-04-18 09:32:48,T.B,154.07231553850815,136,1717,2496,18.07231553850815,32.40429200409159,3139.916666666667,0.9944364974214698,112.3715085732745,100,1437,2093,12.371508573274497,23.511266202788818,270.45,0.9854253962470396,32.05316144940592,27.0,213.0,306.0,5.05316144940592,7.1266870462784695,292.4833333333333,1.0,3.4284831611088378,7.0,42.0,50.0,-3.5715168388911622,-2.9846937486344256,4.448745903966157,1.3484947825659557,-0.5647566564175854,6.131463107122074
CONNOR HELLEBUYCK,WPG,63,3697.133333333333,0.986244120183886,WPG,WPG,2025-04-18 09:32:48,WPG,161.46771642079128,125,1662,2597,36.46771642079128,51.4876212207285,3187.0,0.9859038741144808,118.48832487169487,90,1369,2156,28.48832487169487,40.23446264056838,252.05,0.99212753395001,32.63379305222245,30.0,211.0,322.0,2.633793052222451,4.744879826724663,258.0833333333333,0.984737678855326,3.1695343580477515,3.0,46.0,59.0,0.16953435804775152,0.7120354756740483,7.6130693824255395,0.8978148821031658,0.1347296601791604,9.742365299896404
SAM MONTEMBEAULT,MTL,62,3492.116666666667,0.950783444432848,MTL,MTL,2025-04-18 09:32:48,MTL,198.86533869222927,166,1676,2583,32.86533869222927,51.36401150048573,2917.883333333333,0.9527886017806996,143.7523395626165,126,1342,2089,17.7523395626165,32.002982289896266,297.1,0.9518876488492553,41.35029996038209,35.0,256.0,374.0,6.350299960382088,9.025259356869306,277.1333333333333,0.9454710865980552,3.002670921936875,3.0,36.0,47.0,0.0026709219368750148,0.5166115034228187,6.055528236926248,1.7077381222174237,0.09775200067793244,9.718976162455768
ILYA SOROKIN,NYI,61,3446.7666666666664,0.9577544366640732,NYI,NYI,2025-04-18 09:32:48,NYI,168.40024649789908,158,1694,2582,10.400246497899076,26.065022880150025,2967.9666666666667,0.9568941429339064,119.36869604973057,112,1365,2095,7.368696049730573,19.202107912116276,228.16666666666669,0.98837629052054,32.30996621817665,32.0,214.0,328.0,0.3099662181766476,2.4001045682805966,250.63333333333333,0.9779540872732,2.801329652197807,5.0,41.0,55.0,-2.198670347802193,-1.7191915678046614,3.6333772151927137,0.45414208129557243,-0.32530134189442067,4.931961672106678
IGOR SHESTERKIN,NYR,61,3471.2833333333338,0.9630415684098582,NYR,NYR,2025-04-18 09:32:48,NYR,187.2066928604471,167,1749,2608,20.206692860447106,37.620865594192026,2899.7333333333336,0.9655103524436872,135.88567895059958,126,1416,2124,9.885678950599583,23.356473710328288,319.91666666666663,0.957452114924182,39.49117000379911,33.0,257.0,373.0,6.4911700037991125,9.045861901588204,251.63333333333333,0.9644819215535966,4.087260287048408,5.0,38.0,51.0,-0.9127397129515922,-0.21315957805786745,4.419456436488781,1.7116364867563187,-0.04033354867393782,7.118530761902172
FILIP GUSTAVSSON,MIN,58,3381.4,0.9805659602232908,MIN,MIN,2025-04-18 09:32:48,MIN,167.72906451853578,146,1690,2577,21.72906451853578,37.33140681391825,2907.7,0.9787873857598895,121.24296503520975,101,1344,2095,20.24296503520975,32.26217935318087,234.96666666666667,1.0,33.44398358687574,36.0,246.0,350.0,-2.5560164131242615,-0.39251824654769507,238.73333333333332,0.9916920520631404,2.6660162587502825,3.0,43.0,52.0,-0.3339837412497175,0.12233464391293891,6.104572889122422,-0.0742713695851016,0.023147870528397577,7.06376005955024
JEREMY SWAYMAN,BOS,58,3361.95,0.9745253393883762,BOS,BOS,2025-04-18 09:32:48,BOS,174.20717243636676,175,1628,2444,-0.7928275636332387,15.412115464368583,2832.5,0.9740818010912924,127.21897809592949,123,1308,1991,4.2189780959294865,16.83061426471008,249.9333333333333,0.9715581470683512,32.03688400971804,40.0,218.0,304.0,-7.963115990281963,-5.890643384325692,279.51666666666665,0.9817362289995902,7.215891357682629,5.0,68.0,94.0,2.2158913576826293,3.450971556852311,3.1846488243360502,-1.1146135389609857,0.6529846349334164,2.916243853146043
JAKE OETTINGER,DAL,58,3365.4333333333334,0.9800092212866122,DAL,DAL,2025-04-18 09:32:48,DAL,164.48616924300876,146,1610,2431,18.48616924300876,33.78685384858005,2817.916666666667,0.9815560922369552,117.63809181862858,114,1305,1994,3.638091818628581,15.299943185548301,259.6,0.9719812792511702,35.45667005195331,25.0,215.0,317.0,10.45667005195331,12.750369319298194,287.91666666666663,0.9722534894191804,3.3754547184268757,4.0,54.0,60.0,-0.6245452815731243,-0.04679860007905079,2.8950188811842565,2.4125945746195203,-0.008855119865400194,6.393068172948702
KAREL VEJMELKA,UTA,58,3337.2,0.9627741929279622,UTA,UTA,2025-04-18 09:32:48,UTA,160.04535326103203,144,1506,2227,16.045353261032034,30.93294827345207,2791.85,0.9628230993395754,111.99192854525921,98,1184,1779,13.991928545259213,25.09405715682422,278.66666666666663,0.9716410971641096,39.29256848438754,36.0,254.0,360.0,3.2925684843875374,5.8344128090993905,266.68333333333334,0.9583732630570198,2.2257842036008073,6.0,39.0,45.0,-3.7742157963991927,-3.3932480321651624,4.748237845951163,1.1039737231782867,-0.6420623268025178,5.853058943834925
JUUSE SAROS,NSH,58,3323.883333333333,0.9711952393010888,NSH,NSH,2025-04-18 09:32:48,NSH,157.27207795182724,167,1593,2319,-9.727922048172758,4.901699840878621,2801.0333333333333,0.975442995362551,117.61965930362187,135,1314,1930,-17.380340696378127,-5.720316605360296,279.18333333333334,0.9635872066267832,33.74952848626854,28.0,220.0,309.0,5.749528486268538,7.932792415136127,243.66666666666669,0.9698819158816506,2.9534563069368307,2.0,38.0,47.0,0.9534563069368307,1.458973258758284,-1.0823847107165854,1.5010241243265987,0.2760634520027331,0.9274879924158967
JOEY DACCORD,SEA,57,3255.333333333333,0.9725251197482546,SEA,SEA,2025-04-18 09:32:48,SEA,168.13419373053094,151,1600,2513,17.13419373053094,32.77422159136714,2767.2166666666662,0.9707261459307764,121.9562918321196,110,1290,2037,11.956291832119604,24.046220584106095,224.88333333333333,0.9906027457602232,35.406218086228264,33.0,230.0,358.0,2.4062180862282645,4.696653605549152,263.2333333333333,0.9836208507193124,4.005543221183057,2.0,43.0,58.0,2.005543221183057,2.6911365698321292,4.549968700397754,0.888689631167388,0.5092104648380921,6.201460304293564
JORDAN BINNINGTON,STL,56,3195.25,0.9652497016871668,STL,STL,2025-04-18 09:32:48,STL,141.29378036697256,145,1455,2187,-3.7062196330274446,9.437083418367536,2777.016666666667,0.9658460521815748,101.75873884343775,104,1187,1794,-2.2412611565622456,7.846417666951737,220.55,0.9747348261638183,29.295163273792447,31.0,197.0,283.0,-1.704836726207553,0.19027340227854594,197.6833333333333,0.9467592592592592,1.3991314882410852,1.0,33.0,41.0,0.39913148824108524,0.6386084303823438,1.4846804997902971,0.03600308089404304,0.12083596920716753,1.785662492217013
UKKO-PEKKA LUUKKONEN,BUF,55,3132.7166666666667,0.962175969531922,BUF,BUF,2025-04-18 09:32:48,BUF,161.4677577792994,169,1490,2272,-7.532242220700596,7.487666426450602,2639.7833333333333,0.9629150024014056,116.37628110767915,121,1187,1832,-4.623718892320852,6.913045024294377,247.5,0.96742671009772,32.13416829280539,37.0,211.0,315.0,-4.865831707194609,-2.7870657609862874,245.4333333333333,0.968242488000526,3.609311865580202,4.0,44.0,57.0,-0.3906881344197979,0.22708580324628969,1.3080699469990797,-0.5273619583619596,0.04296863590107129,1.4167984428242248
LUKAS DOSTAL,ANA,54,3019.7333333333336,0.937039067429328,ANA,ANA,2025-04-18 09:32:48,ANA,167.76247196517747,158,1624,2498,9.762471965177468,25.367921858036937,2518.4833333333336,0.9384020170405148,121.36283274640124,112,1305,2041,9.362832746401239,21.39392994524877,242.03333333333333,0.9447661180144428,35.36653794751644,38.0,240.0,346.0,-2.6334620524835586,-0.34559344948499415,259.2166666666667,0.9666252330640148,4.053136348856623,3.0,37.0,52.0,1.053136348856623,1.746875791549031,4.04810857028087,-0.06539237102642882,0.33053968490517,4.800057873730717
SERGEI BOBROVSKY,FLA,54,3169.7166666666667,0.986912638488882,FLA,FLA,2025-04-18 09:32:48,FLA,129.42860871575124,130,1375,2059,-0.5713912842487616,11.468200433471168,2647.55,0.986566552392309,90.4367517773475,89,1093,1638,1.4367517773474958,10.402044745211072,263.26666666666665,0.9925227772541628,32.35092295411168,34.0,217.0,331.0,-1.649077045888319,0.44371080387448814,258.9,0.9847850893876,1.6081542032920546,3.0,33.0,38.0,-1.3918457967079454,-1.116592288133036,1.9682501807427686,0.08395790359636252,-0.2112789385899949,2.169985625793989
ELVIS MERZLIKINS,CBJ,53,3138.2166666666667,0.9941027400876404,CBJ,CBJ,2025-04-18 09:32:48,CBJ,161.7097967864415,168,1557,2331,-6.290203213558499,8.752220168585723,2707.2166666666667,0.9938995288502722,119.04680227412582,120,1273,1924,-0.9531977258741762,10.848303746696388,245.48333333333332,1.0000000000000002,32.677308144315674,38.0,226.0,318.0,-5.322691855684326,-3.2087900809379732,185.51666666666665,0.989334281397209,2.102736561,4.0,26.0,31.0,-1.897263439,-1.5373566496889026,2.052690248233916,-0.6071596317329256,-0.29089497091515154,1.656074296032054
DUSTIN WOLF,CGY,53,3143.9333333333334,0.99369969235956,CGY,CGY,2025-04-18 09:32:48,CGY,150.7144795533146,140,1549,2261,10.71447955331459,24.73410641769368,2644.7,0.9932648130297074,109.14090403691038,99,1255,1843,10.140904036910385,20.96040120192771,239.55,1.0,33.39119898970988,29.0,226.0,331.0,4.391198989709878,6.55128250985549,259.68333333333334,0.9923571747022484,2.623596484924167,5.0,41.0,44.0,-2.376403515075833,-1.9273457468084283,3.9660772919793885,1.239618103936387,-0.36468778085731257,4.680128822705677
STUART SKINNER,EDM,51,2905.333333333333,0.9639247085886178,EDM,EDM,2025-04-18 09:32:48,EDM,138.28229912734022,138,1325,1955,0.2822991273402238,13.14547087739075,2511.9,0.9674859897675554,101.36643437358363,106,1076,1602,-4.63356562641637,5.415222763333432,200.71666666666667,0.9475961916751908,26.394979928491328,27.0,179.0,253.0,-0.6050200715086724,1.1024766007635236,192.71666666666667,0.9449983654789148,3.213068989,2.0,28.0,40.0,1.213068989,1.7630215437394727,1.0246555791447047,0.2086080017793124,0.333594745755749,2.487354752274538
KEVIN LANKINEN,VAN,51,2989.2333333333336,0.9784030592483894,VAN,VAN,2025-04-18 09:32:48,VAN,129.82199237925124,132,1345,2093,-2.178007620748758,9.89817707856895,2542.0333333333333,0.9780624971944876,90.3503607223445,106,1074,1692,-15.649639277655496,-6.692910539518039,237.91666666666669,0.9834653806407166,31.602417405196014,20.0,208.0,304.0,11.602417405196014,13.646784277279991,209.28333333333336,0.9860227718884964,2.5780574021000002,2.0,34.0,44.0,0.5780574021000002,1.0193206489844586,-1.266416623055418,2.582212082165859,0.19287343024765913,1.8729095385680294
DARCY KUEMPER,L.A,50,2934.9,0.9910626850215551,L.A,L.A,2025-04-18 09:32:48,L.A,119.37658563130833,100,1266,1951,19.37658563130833,30.48112709178895,2473.65,0.9894138273547234,81.31973708189852,73,1009,1578,8.319737081898523,16.381230365113424,252.01666666666665,1.0,29.247958451116823,22.0,194.0,281.0,7.247958451116823,9.140014889929652,209.23333333333332,1.0000000000000002,2.6999651208083497,3.0,30.0,40.0,-0.3000348791916503,0.16209423194148798,3.099617471052244,1.7294518914060484,0.030671085265526817,5.767566413831988
ADIN HILL,VGK,50,2894.5666666666666,0.9834147777784068,VGK,VGK,2025-04-18 09:32:48,VGK,134.29629702332505,121,1293,2030,13.296297023325053,25.78868646802212,2556.416666666667,0.9848596726658664,100.41502923217844,94,1075,1702,6.415029232178441,16.369501697747012,158.3,0.9580391365745412,21.77321548489757,21.0,145.0,217.0,0.7732154848975696,2.1817292661487393,179.85000000000002,0.9858395761008588,2.6328613859496866,2.0,25.0,35.0,0.6328613859496866,1.0835049452492282,3.097398200492536,0.41282162571027364,0.20501823021904367,4.879673953063078
JACOB MARKSTROM,N.J,49,2864.5,0.9841895196156466,N.J,N.J,2025-04-18 09:32:48,N.J,122.81619756744155,121,1212,1932,1.8161975674415487,13.240695518139773,2444.35,0.9853932206806194,87.56809699559795,96,993,1583,-8.431903004402045,0.24901076986371606,232.13333333333333,0.9864022662889518,24.9689683626955,20.0,153.0,250.0,4.968968362695499,6.584216053918471,188.01666666666665,0.9661699212058924,2.546158514285896,1.0,30.0,37.0,1.5461585142858958,1.9819619111307896,0.04711722596817285,1.2458497108600455,0.3750221216462671,2.5053729324454816
SAMUEL ERSSON,PHI,47,2572.8500000000004,0.9195920628585388,PHI,PHI,2025-04-18 09:32:48,PHI,124.67912241597838,136,1162,1759,-11.320877584021616,0.27691168765832685,2184.366666666667,0.916664918133686,90.85669234032179,105,947,1435,-14.143307659678214,-5.136384601147256,186.25,0.9530104042299165,24.358918740684192,20.0,142.0,224.0,4.358918740684192,5.934702196574261,202.23333333333332,0.9216162843688288,4.542288637890389,7.0,52.0,61.0,-2.4577113621096114,-1.6802480554317913,-0.9718944849018067,1.122950242685653,-0.3179325430530247,0.05239657131202116
PYOTR KOCHETKOV,CAR,47,2763.55,0.9953000072030542,CAR,CAR,2025-04-18 09:32:48,CAR,119.61228308461253,121,1171,1716,-1.3877169153874718,9.738749381764478,2331.866666666667,0.9980668126663006,86.33972673119293,97,957,1403,-10.660273268807074,-2.1011318832767643,214.46666666666664,1.0,24.531449719226806,21.0,151.0,230.0,3.5314497192268064,5.118394239551229,217.21666666666667,0.9622000738279808,2.384301738458774,1.0,28.0,34.0,1.384301738458774,1.7924015448508142,-0.3975711805054314,0.9684903914441901,0.3391539597289674,1.8427430087427017
CAM TALBOT,DET,47,2605.2833333333333,0.9371073329816316,DET,DET,2025-04-18 09:32:48,DET,130.18640062746206,129,1296,1946,1.1864006274620635,13.296482983337768,2256.5,0.942512252171976,95.29393879834257,83,1060,1610,12.293938798342566,21.74074070794849,157.35,0.9606227106227104,24.029158798098177,34.0,160.0,234.0,-9.970841201901823,-8.416389984419958,191.4333333333333,0.8615361536153616,1.8993505239461872,6.0,31.0,33.0,-4.100649476053813,-3.775554472938098,4.113731278420201,-1.59252930686178,-0.7144014427726623,2.515928904001909
LINUS ULLMARK,OTT,44,2422.9,0.938011756279802,OTT,OTT,2025-04-18 09:32:48,OTT,123.98495229055789,112,1230,1766,11.984952290557885,23.518169092707126,2018.7166666666667,0.9381016922898192,82.56173514727523,85,967,1392,-2.438264852724771,5.746351788005612,184.48333333333332,0.9239565943238732,29.456525053840604,24.0,200.0,270.0,5.456525053840604,7.362073709016649,219.7,0.9780382846119602,0.9495699774967226,0.0,15.0,23.0,0.9495699774967226,1.1120994584434594,1.0873110260903878,1.3930340873687113,0.21042881603571284,4.4500520523881395
LOGAN THOMPSON,WSH,43,2496.7166666666667,0.9755848181723455,WSH,WSH,2025-04-18 09:32:48,WSH,125.1791015196,105,1171,1813,20.179101519599996,31.823399398107483,2143.383333333333,0.9781778629670196,93.1604864088,79,941,1477,14.160486408799997,23.395792158610973,184.9,0.952274678111588,21.337802859,21.0,150.0,226.0,0.33780285899999996,1.7181497080618051,168.43333333333334,0.9689357622243528,2.0903235468,2.0,31.0,36.0,0.0903235468000001,0.44810571043555836,4.426896179811799,0.3251042036704066,0.08478949736903461,6.021547989015441
JOSEPH WOLL,TOR,42,2402.95,0.9737018052150656,TOR,TOR,2025-04-18 09:32:48,TOR,124.27246240295733,111,1216,1832,13.27246240295733,24.832423712386316,2086.4333333333334,0.974505881162376,86.68511832473838,74,968,1476,12.685118324738383,21.278499516143143,166.53333333333333,0.9765441751368256,25.004089792705095,29.0,168.0,243.0,-3.995910207294905,-2.3783905035517776,149.98333333333335,0.966076221148685,3.490604961058422,2.0,38.0,45.0,1.490604961058422,2.0880608894846002,4.026267098866803,-0.4500333975825136,0.39509791813018935,4.698732187504507
CHARLIE LINDGREN,WSH,39,2259.2833333333333,0.9746482316314716,WSH,WSH,2025-04-18 09:32:48,WSH,104.64566324096094,103,985,1531,1.6456632409609426,11.379918078066794,1886.8,0.976267678509831,69.19080416260265,79,758,1174,-9.809195837397354,-2.9500836091407905,193.4833333333333,0.9735826903723582,25.624533383399537,18.0,163.0,260.0,7.6245333833995375,9.282189710444275,179.0,0.9590141976962228,3.4874355068771905,3.0,38.0,48.0,0.4874355068771905,1.0843489479088984,-0.558207808091852,1.7563538729903718,0.20517793039608895,2.153281048353957
ALEX NEDELJKOVIC,PIT,38,2132.0,0.93686831697671,PIT,PIT,2025-04-18 09:32:48,PIT,102.38519123485078,112,1053,1565,-9.61480876514922,-0.09082552342667327,1814.25,0.9353652353987472,77.96623037905361,85,847,1268,-7.033769620946387,0.695279501351294,155.35,0.9425624431186166,17.555676796839798,20.0,143.0,210.0,-2.4443232031602022,-1.3086428657891886,162.4,0.9643705463182898,2.647008279957371,2.0,33.0,47.0,0.6470082799573711,1.1000732377789455,0.13155913454722,-0.24761829238459404,0.20815324314823036,-0.017185789648031243
MACKENZIE BLACKWOOD,COL,37,2144.016666666667,0.9810337990360564,COL,S.J/COL,2025-04-18 09:32:48,COL,100.74536772292387,84,965,1439,16.745367722923874,26.116812775689482,1815.5,0.9797449227392924,72.09849778331386,65,777,1165,7.09849778331386,14.24585925381038,162.23333333333335,0.9883236876840288,22.697833417057286,15.0,141.0,206.0,7.697833417057286,9.166160922227288,166.28333333333333,0.9881152817668616,1.8020710625527312,3.0,26.0,33.0,-1.1979289374472688,-0.8894843979537685,2.6955676252072656,1.73439918148757,-0.16830612345196685,4.94176123303465
MACKENZIE BLACKWOOD,S.J,19,1047.1666666666667,0.9306769367501112,COL,S.J/COL,2025-04-18 09:32:48,S.J,54.18830409987,50,554,826,4.1883040998700025,9.228959822832174,869.5333333333333,0.9319590575373788,38.79317630267,40,453,676,-1.2068236973300017,2.63887159658848,83.7,0.9063345966432051,11.620295612,8.0,75.0,115.0,3.6202956119999996,4.372014921583247,93.93333333333334,0.9412157648630596,0.8916805132,1.0,14.0,16.0,-0.10831948680000003,0.04430156737735369,0.49932101083620567,0.8272622710624281,0.008382637273100386,1.7462818401853148
CALVIN PICKARD,EDM,36,1861.25,0.8748257007222648,EDM,EDM,2025-04-18 09:32:48,EDM,76.86294287505268,85,849,1201,-8.137057124947319,-0.9871815323694335,1588.35,0.8744093440622448,58.48900719542664,65,718,1010,-6.5109928045733625,-0.7127849454779067,129.56666666666666,0.932357879587431,13.732679847633777,17.0,88.0,134.0,-3.2673201523662225,-2.378950272762591,143.33333333333331,0.9287257019438444,1.750541044603966,2.0,26.0,34.0,-0.24945895539603402,0.05016564742205887,-0.13487147307393618,-0.4501393157819969,0.009492224560080167,-0.18679214299732702
ARVID SODERBLOM,CHI,36,2074.5666666666666,0.9710269291977408,CHI,CHI,2025-04-18 09:32:48,CHI,109.18414559485907,111,1087,1636,-1.815854405140925,8.340575058588726,1805.3166666666664,0.9706177530063262,81.29285850625551,95,914,1370,-13.707141493744487,-5.648312772231137,162.13333333333333,0.9878147847278635,20.689370083054175,11.0,129.0,200.0,9.689370083054175,11.027769682672364,107.11666666666667,1.0000000000000002,1.6587540905681935,2.0,17.0,23.0,-0.34124590943180655,-0.05733166640883214,-1.068760316566975,2.086648366043831,-0.010848161638933445,1.5781837868101554
TRISTAN JARRY,PIT,36,1998.4833333333336,0.9283756580984828,PIT,PIT,2025-04-18 09:32:48,PIT,99.39646807775817,105,972,1468,-5.603531922241828,3.6424370000367503,1705.4333333333334,0.9327718070026708,74.88015174972907,81,786,1208,-6.119848250270934,1.303267736547994,140.56666666666666,0.9462582744306068,17.993009142803793,19.0,126.0,181.0,-1.0069908571962074,0.1569805994495148,152.48333333333335,0.9113457515688814,2.779167500656534,2.0,33.0,41.0,0.7791675006565342,1.2548529815060014,0.24660122320640507,0.029703495880640543,0.23744029834056174,0.6892132709741586
ANTHONY STOLARZ,TOR,34,1961.2166666666667,0.9734292923026016,TOR,TOR,2025-04-18 09:32:48,TOR,101.54571886148233,71,955,1501,30.545718861482328,39.991613458554,1622.9666666666667,0.970509383378016,70.34636691914369,43,747,1180,27.34636691914369,34.32003388816149,181.8,0.9988096328175076,23.487167051830557,20.0,148.0,239.0,3.487167051830557,5.006556711938327,156.45,0.9750701153007169,2.5219944661254634,2.0,33.0,41.0,0.5219944661254634,0.9536619169125,6.493955232654703,0.9473287603101518,0.18044964103761268,7.567118037463954
DAVID RITTICH,L.A,34,1836.1333333333328,0.9120018543353366,L.A,L.A,2025-04-18 09:32:48,L.A,68.17506094929136,86,744,1127,-17.824939050708636,-11.483219802510845,1592.3333333333333,0.924279508934186,52.277882347319746,62,628,955,-9.722117652680254,-4.5396390499865475,123.41666666666666,0.9805349576271186,12.353888462564102,17.0,77.0,123.0,-4.646111537435898,-3.8469359556927767,120.38333333333333,0.9525253857312408,1.0482544560091034,2.0,17.0,21.0,-0.9517455439908966,-0.7723251150885395,-0.8589797101917432,-0.7279080772637574,-0.14613752243904157,-2.172827555102224
PETR MRAZEK,CHI,33,1820.5166666666669,0.9357016198805864,DET,CHI/DET,2025-04-18 09:32:48,CHI,89.0150142929,106,963,1383,-16.984985707099995,-8.7047110486033,1527.0666666666666,0.928778509883426,64.5012239768,79,775,1127,-14.498776023199994,-8.104557319265481,159.55,1.0,18.314435949,21.0,141.0,191.0,-2.685564051,-1.5007994282504953,133.9,1.0,2.2376339091,4.0,24.0,34.0,-1.7623660909,-1.3793701175504784,-1.5335250711960602,-0.2839777003720956,-0.2610011348422452,-1.6470847332794634
PETR MRAZEK,DET,5,240.5833333333333,0.8055245535714285,DET,CHI/DET,2025-04-18 09:32:48,DET,9.8376522469,10,102,167,-0.1623477531000006,0.7527614927523185,216.45,0.8218059862051509,8.4035637029,9,90,153,-0.5964362971000003,0.23663664161067643,8.45,1.0,1.38561149,1.0,11.0,13.0,0.38561149000000006,0.47524698184908765,15.683333333333334,1.0,0.048477054,0.0,1.0,1.0,0.048477054,0.05677444188205751,0.04477582283377543,0.08992510423035499,0.010742724938515155,0.14243574032384948
ALEXANDAR GEORGIEV,S.J,31,1717.3833333333334,0.929068614191687,S.J,COL/S.J,2025-04-18 09:32:48,S.J,99.73310846651604,112,896,1335,-12.266891533483957,-2.989607951513406,1473.5166666666669,0.9310733392308016,74.02679841108613,77,718,1089,-2.9732015889138665,4.3653186717684775,129.06666666666666,0.9294287085933748,22.018652156460636,28.0,145.0,200.0,-5.981347843539364,-4.5569567135998135,114.8,0.9557374774524768,1.316149736969272,5.0,19.0,28.0,-3.683850263030728,-3.4585765721314825,0.8259952225896471,-0.8622565173360834,-0.654423637847211,-0.5656865102051509
ALEXANDAR GEORGIEV,COL,18,928.65,0.8787654165220957,S.J,COL/S.J,2025-04-18 09:32:48,COL,48.5735410816,53,421,599,-4.426458918400002,0.09190536527007254,796.4666666666667,0.8743733304058258,34.2972319317,40,330,475,-5.702768068300003,-2.3027705428307783,61.85,0.9279819954988744,9.176850965,9.0,60.0,84.0,0.17685096499999986,0.7705033385621949,70.33333333333334,0.9108568961795812,0.9366813789,2.0,10.0,12.0,-1.0633186211,-0.9029951673968566,-0.4357247683656098,0.14579281021513948,-0.1708625991305179,0.01739011475482553
