player,team,GP,TOI,TOI_Perc,game_strength,Pos,last_team,all_teams,last_update
ZEMGUS GIRGENSONS,T.B,82,956.4833333333333,0.1926096222583947,AS,F,T.B,T.B,2025-10-15 18:12:13
ZEMGUS GIRGENSONS,T.B,82,948.6833333333334,0.19511267113192154,AS_Without_EN,F,T.B,T.B,2025-10-15 18:12:13
ZEMGUS GIRGENSONS,T.B,82,823.5333333333333,0.19810204989836705,EV,F,T.B,T.B,2025-10-15 18:12:13
ZEMGUS GIRGENSONS,T.B,82,1.1666666666666665,0.008239171374764594,PP,F,T.B,T.B,2025-10-15 18:12:13
ZEMGUS GIRGENSONS,T.B,82,123.98333333333333,0.3809596968300302,SH,F,T.B,T.B,2025-10-15 18:12:13
ZEMGUS GIRGENSONS,T.B,82,822.8833333333334,0.2028980147037672,5v5,F,T.B,T.B,2025-10-15 18:12:13
MATTY BENIERS,SEA,82,1532.0500000000002,0.3089589110158811,AS,F,SEA,SEA,2025-10-15 18:12:13
MATTY BENIERS,SEA,82,1467.9166666666667,0.3051505744418421,AS_Without_EN,F,SEA,SEA,2025-10-15 18:12:13
MATTY BENIERS,SEA,82,1236.1,0.299569827325053,EV,F,SEA,SEA,2025-10-15 18:12:13
MATTY BENIERS,SEA,82,190.9,0.5114762882915066,PP,F,SEA,SEA,2025-10-15 18:12:13
MATTY BENIERS,SEA,82,40.916666666666664,0.1884402824685293,SH,F,SEA,SEA,2025-10-15 18:12:13
MATTY BENIERS,SEA,82,1196.5666666666666,0.29680187852430007,5v5,F,SEA,SEA,2025-10-15 18:12:13
FILIP FORSBERG,NSH,82,1527.4833333333331,0.30826799595025944,AS,F,NSH,NSH,2025-10-15 18:12:13
FILIP FORSBERG,NSH,82,1447.4833333333333,0.29914921465968586,AS_Without_EN,F,NSH,NSH,2025-10-15 18:12:13
FILIP FORSBERG,NSH,82,1190.5,0.29218308994968706,EV,F,NSH,NSH,2025-10-15 18:12:13
FILIP FORSBERG,NSH,82,254.91666666666669,0.7075449877411296,PP,F,NSH,NSH,2025-10-15 18:12:13
FILIP FORSBERG,NSH,82,2.0666666666666664,0.015907633098139834,SH,F,NSH,NSH,2025-10-15 18:12:13
FILIP FORSBERG,NSH,82,1156.0166666666667,0.2908425338493729,5v5,F,NSH,NSH,2025-10-15 18:12:13
BARRETT HAYTON,UTA,82,1320.3166666666666,0.26436912028246007,AS,F,UTA,UTA,2025-10-15 18:12:13
BARRETT HAYTON,UTA,82,1287.0,0.2620620844829517,AS_Without_EN,F,UTA,UTA,2025-10-15 18:12:13
BARRETT HAYTON,UTA,82,1057.2333333333333,0.2562938122462173,EV,F,UTA,UTA,2025-10-15 18:12:13
BARRETT HAYTON,UTA,82,160.85000000000002,0.4846339258812897,PP,F,UTA,UTA,2025-10-15 18:12:13
BARRETT HAYTON,UTA,82,68.91666666666666,0.21401583768956056,SH,F,UTA,UTA,2025-10-15 18:12:13
BARRETT HAYTON,UTA,82,1028.0,0.2575946142345247,5v5,F,UTA,UTA,2025-10-15 18:12:13
