,Player,Position,Height,Weight,Draft Year,2024-2025 Leagues,2024-2025 Team,NHL Rights,2025 NHL Equivalency,Star Probability,NHLer Probability
0,Macklin Celebrini,F,"6'0""",190,1,nhl,San Jose Sharks,San Jose Sharks,73.8,99.99%,100.0%
1,Matvei Michkov,F,"5'10""",176,2,nhl,Philadelphia Flyers,Philadelphia Flyers,64.58,99.93%,100.0%
2,Ivan Demidov,F,"6'0""",192,1,khl,SKA St. Petersburg,Montreal Canadiens,47.7,98.94%,100.0%
3,Nikita Artamonov,F,"5'11""",192,1,khl,Torpedo Nizhny Novgorod,Carolina Hurricanes,39.17,94.02%,99.95%
4,Alex Nikishin,D,"6'4""",216,5,khl,SKA St. Petersburg,Carolina Hurricanes,47.72,92.63%,100.0%
0,Michael Misa,F,"6'1""",183,0,ohl,Saginaw Spirit,-,24.35,87.21%,99.12%
6,Will Smith,F,"6'0""",181,2,nhl,San Jose Sharks,San Jose Sharks,49.86,87.15%,99.96%
1,Porter Martone,F,"6'3""",205,0,ohl,Brampton Steelheads,-,20.31,82.46%,98.33%
2,James Hagens,F,"5'11""",185,0,"wjc-20, ncaa",Boston College,-,17.87,75.83%,92.94%
9,Roman Kantserov,F,"5'9""",176,2,khl,Metallurg Magnitogorsk,Chicago Blackhawks,51.16,74.96%,99.34%
10,Zeev Buium,D,"6'0""",185,1,"wjc-20, ncaa",Univ. of Denver,Minnesota Wild,18.65,74.89%,99.63%
11,Zayne Parekh,D,"6'0""",185,1,ohl,Saginaw Spirit,Calgary Flames,20.72,72.32%,99.9%
3,Matthew Schaefer,D,"6'2""",185,0,ohl,Erie Otters,-,15.29,63.43%,98.58%
13,Jiri Tichacek,D,"5'9""",170,4,czech,Rytíři Kladno,-,29.64,59.01%,76.02%
4,Anton Frondell,F,"6'1""",205,0,"allsvenskan, wjc-18, superelit",Djurgårdens IF,-,18.32,58.87%,94.8%
15,Danil Aimurzin,F,"6'0""",179,5,khl,Severstal Cherepovets,-,54.65,58.74%,97.44%
16,Dmitri Buchelnikov,F,"5'10""",170,4,khl,Vityaz Moscow Region,Detroit Red Wings,52.57,52.5%,96.64%
