player,long_team,team,position,granular_position,link,id
KYLE CONNOR,winnipeg-jets,WPG,skater,forward,https://assets.nhle.com/mugs/nhl/latest/8478398.png,8478398.0
MARK SCHEIFELE,winnipeg-jets,WPG,skater,forward,https://assets.nhle.com/mugs/nhl/latest/8476460.png,8476460.0
GABRIEL VILARDI,winnipeg-jets,WPG,skater,forward,https://assets.nhle.com/mugs/nhl/latest/8480014.png,8480014.0
NINO NIEDERREITER,winnipeg-jets,WPG,skater,forward,https://assets.nhle.com/mugs/nhl/latest/8475799.png,8475799.0
JONATHAN TOEWS,winnipeg-jets,WPG,skater,forward,https://assets.nhle.com/mugs/nhl/latest/8473604.png,8473604.0
GUSTAV NYQUIST,winnipeg-jets,WPG,skater,forward,https://assets.nhle.com/mugs/nhl/latest/8474679.png,8474679.0
ALEX IAFALLO,winnipeg-jets,WPG,skater,forward,https://assets.nhle.com/mugs/nhl/latest/8480113.png,8480113.0
VLADISLAV NAMESTNIKOV,winnipeg-jets,WPG,skater,forward,https://assets.nhle.com/mugs/nhl/latest/8476480.png,8476480.0
BRAD LAMBERT,winnipeg-jets,WPG,skater,forward,https://assets.nhle.com/mugs/nhl/latest/8483471.png,8483471.0
COLE KOEPKE,winnipeg-jets,WPG,skater,forward,https://assets.nhle.com/mugs/nhl/latest/8481043.png,8481043.0
MORGAN BARRON,winnipeg-jets,WPG,skater,forward,https://assets.nhle.com/mugs/nhl/latest/8480289.png,8480289.0
TANNER PEARSON,winnipeg-jets,WPG,skater,forward,https://assets.nhle.com/mugs/nhl/latest/8476871.png,8476871.0
JOSH MORRISSEY,winnipeg-jets,WPG,skater,defense,https://assets.nhle.com/mugs/nhl/latest/8477504.png,8477504.0
DYLAN DEMELO,winnipeg-jets,WPG,skater,defense,https://assets.nhle.com/mugs/nhl/latest/8476331.png,8476331.0
LOGAN STANLEY,winnipeg-jets,WPG,skater,defense,https://assets.nhle.com/mugs/nhl/latest/8479378.png,8479378.0
NEAL PIONK,winnipeg-jets,WPG,skater,defense,https://assets.nhle.com/mugs/nhl/latest/8480145.png,8480145.0
HAYDN FLEURY,winnipeg-jets,WPG,skater,defense,https://assets.nhle.com/mugs/nhl/latest/8477938.png,8477938.0
