ID,date,utc_start_time,state,home_team,away_team,home_win_probability,projected_home_goals,projected_away_goals,home_playoffs_if_win,home_cup_if_win,home_points_if_win,home_playoffs_if_lose_overtime,home_cup_if_lose_overtime,home_points_if_lose_overtime,home_playoffs_if_lose_regulation,home_cup_if_lose_regulation,home_points_if_lose_regulation,away_playoffs_if_win,away_cup_if_win,away_points_if_win,away_playoffs_if_lose_overtime,away_cup_if_lose_overtime,away_points_if_lose_overtime,away_playoffs_if_lose_regulation,away_cup_if_lose_regulation,away_points_if_lose_regulation,home_record,away_record
2025020001,2025-10-07,2025-10-07 21:00:00,Final,FLA,CHI,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,4 - 5 - 0,4 - 2 - 2
2025020002,2025-10-07,2025-10-08 00:00:00,Final,NYR,PIT,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,3 - 4 - 2,6 - 2 - 0
2025020003,2025-10-07,2025-10-08 02:30:00,Final,L.A,COL,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,3 - 3 - 2,5 - 0 - 3
2025020004,2025-10-08,2025-10-08 23:00:00,Final,TOR,MTL,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,6 - 3 - 0
2025020005,2025-10-08,2025-10-08 23:30:00,Final,WSH,BOS,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,5 - 2 - 0,3 - 6 - 0
2025020006,2025-10-08,2025-10-09 02:00:00,Final,EDM,CGY,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,4 - 3 - 1,1 - 6 - 1
2025020007,2025-10-08,2025-10-09 02:00:00,Final,VGK,L.A,0.0,5.0,6.0,,,,,,,,,,,,,,,,,,,5 - 0 - 2,3 - 3 - 2
2025020008,2025-10-09,2025-10-09 23:00:00,Final,BOS,CHI,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,3 - 6 - 0,4 - 2 - 2
2025020009,2025-10-09,2025-10-09 23:00:00,Final,BUF,NYR,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,3 - 4 - 0,3 - 4 - 2
2025020010,2025-10-09,2025-10-09 23:00:00,Final,DET,MTL,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,5 - 3 - 0,6 - 3 - 0
2025020011,2025-10-09,2025-10-09 23:00:00,Final,T.B,OTT,0.0,4.0,5.0,,,,,,,,,,,,,,,,,,,1 - 4 - 2,3 - 4 - 1
2025020012,2025-10-09,2025-10-09 23:00:00,Final,FLA,PHI,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,4 - 5 - 0,3 - 3 - 1
2025020013,2025-10-09,2025-10-09 23:00:00,Final,PIT,NYI,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,6 - 2 - 0,4 - 3 - 0
2025020014,2025-10-09,2025-10-09 23:30:00,Final,CAR,N.J,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,6 - 1 - 0,6 - 1 - 0
2025020015,2025-10-09,2025-10-10 00:00:00,Final,STL,MIN,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,3 - 3 - 1,3 - 4 - 1
2025020016,2025-10-09,2025-10-10 00:00:00,Final,NSH,CBJ,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,3 - 3 - 2,3 - 3 - 0
2025020017,2025-10-09,2025-10-10 00:00:00,Final,WPG,DAL,0.0,4.0,5.0,,,,,,,,,,,,,,,,,,,5 - 2 - 0,3 - 3 - 1
2025020018,2025-10-09,2025-10-10 01:00:00,Final,COL,UTA,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,5 - 0 - 3,6 - 2 - 0
2025020019,2025-10-09,2025-10-10 02:00:00,Final,VAN,CGY,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,4 - 4 - 0,1 - 6 - 1
2025020020,2025-10-09,2025-10-10 02:00:00,Final,S.J,VGK,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,1 - 4 - 2,5 - 0 - 2
2025020021,2025-10-09,2025-10-10 02:00:00,Final,SEA,ANA,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,4 - 2 - 2,4 - 2 - 1
2025020022,2025-10-11,2025-10-11 17:30:00,Final,WPG,L.A,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,5 - 2 - 0,3 - 3 - 2
2025020023,2025-10-11,2025-10-11 20:00:00,Final,CGY,STL,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,1 - 6 - 1,3 - 3 - 1
2025020024,2025-10-11,2025-10-11 23:00:00,Final,BOS,BUF,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,3 - 6 - 0,3 - 4 - 0
2025020025,2025-10-11,2025-10-11 23:00:00,Final,DET,TOR,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,5 - 3 - 0,3 - 3 - 1
2025020026,2025-10-11,2025-10-11 23:00:00,Final,T.B,N.J,0.0,3.0,5.0,,,,,,,,,,,,,,,,,,,1 - 4 - 2,6 - 1 - 0
2025020027,2025-10-11,2025-10-11 23:00:00,Final,FLA,OTT,1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,4 - 5 - 0,3 - 4 - 1
2025020028,2025-10-11,2025-10-11 23:00:00,Final,NYI,WSH,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,4 - 3 - 0,5 - 2 - 0
2025020029,2025-10-11,2025-10-11 23:00:00,Final,PIT,NYR,0.0,1.0,6.0,,,,,,,,,,,,,,,,,,,6 - 2 - 0,3 - 4 - 2
2025020030,2025-10-11,2025-10-11 23:00:00,Final,CAR,PHI,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,6 - 1 - 0,3 - 3 - 1
2025020031,2025-10-11,2025-10-11 23:00:00,Final,CHI,MTL,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,4 - 2 - 2,6 - 3 - 0
2025020032,2025-10-11,2025-10-12 00:00:00,Final,NSH,UTA,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,3 - 3 - 2,6 - 2 - 0
2025020033,2025-10-11,2025-10-12 00:00:00,Final,MIN,CBJ,0.0,4.0,7.0,,,,,,,,,,,,,,,,,,,3 - 4 - 1,3 - 3 - 0
2025020034,2025-10-11,2025-10-12 01:00:00,Final,COL,DAL,0.0,4.0,5.0,,,,,,,,,,,,,,,,,,,5 - 0 - 3,3 - 3 - 1
2025020035,2025-10-11,2025-10-12 02:00:00,Final,EDM,VAN,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,4 - 3 - 1,4 - 4 - 0
2025020036,2025-10-11,2025-10-12 02:00:00,Final,S.J,ANA,0.0,6.0,7.0,,,,,,,,,,,,,,,,,,,1 - 4 - 2,4 - 2 - 1
2025020037,2025-10-11,2025-10-12 02:00:00,Final,SEA,VGK,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,4 - 2 - 2,5 - 0 - 2
2025020038,2025-10-12,2025-10-12 23:00:00,Final,NYR,WSH,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,3 - 4 - 2,5 - 2 - 0
2025020039,2025-10-13,2025-10-13 16:30:00,Final,BUF,COL,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,3 - 4 - 0,5 - 0 - 3
2025020040,2025-10-13,2025-10-13 17:00:00,Final,BOS,T.B,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,3 - 6 - 0,1 - 4 - 2
2025020041,2025-10-13,2025-10-13 17:00:00,Final,OTT,NSH,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,3 - 4 - 1,3 - 3 - 2
