Goalie,Team,Season,GP,xGA,GA,GSAx,WAR,SA,xSV%,SV%,dSV%,TOI,FA,xFSV%,FSV%,dFSV%,GAR
Scott Wedgewood,COL,25-26,8,19.8,17,2.8,0.88,189,89.53,91.01,1.48,438.52,286,93.08,94.06,0.98,4.64
Juuse Saros,NSH,25-26,7,23.77,18,5.77,1.51,202,88.23,91.09,2.86,426.88,296,91.97,93.92,1.95,7.98
Dustin Wolf,CGY,25-26,7,16.97,24,-7.03,-1.03,192,91.16,87.5,-3.66,398.52,263,93.55,90.87,-2.67,-5.45
Linus Ullmark,OTT,25-26,7,19.38,24,-4.62,-0.53,180,89.23,86.67,-2.57,423.88,259,92.52,90.73,-1.78,-2.82
Igor Shesterkin,NYR,25-26,7,18.18,13,5.18,1.3,185,90.17,92.97,2.8,419.33,279,93.49,95.34,1.86,6.87
Sergei Bobrovsky,FLA,25-26,7,16.31,18,-1.69,-0.03,168,90.29,89.29,-1.01,415.7,264,93.82,93.18,-0.64,-0.17
Spencer Knight,CHI,25-26,6,20.05,12,8.05,1.88,189,89.39,93.65,4.26,367.47,298,93.27,95.97,2.7,9.91
Jordan Binnington,STL,25-26,6,10.82,14,-3.18,-0.41,122,91.13,88.52,-2.6,305.17,177,93.88,92.09,-1.79,-2.17
Connor Hellebuyck,WPG,25-26,6,19.11,12,7.11,1.68,176,89.14,93.18,4.04,359.45,261,92.68,95.4,2.72,8.88
Filip Gustavsson,MIN,25-26,6,18.62,18,0.62,0.44,183,89.83,90.16,0.34,355.58,269,93.08,93.31,0.23,2.35
Karel Vejmelka,UTA,25-26,6,17.34,15,2.34,0.75,144,87.96,89.58,1.63,360.6,223,92.22,93.27,1.05,3.96
Anthony Stolarz,TOR,25-26,6,18.2,18,0.2,0.36,170,89.3,89.41,0.12,359.98,250,92.72,92.8,0.08,1.89
Alex Lyon,BUF,25-26,6,21.05,15,6.05,1.52,198,89.37,92.42,3.06,355.25,297,92.91,94.95,2.04,8.01
Jake Oettinger,DAL,25-26,6,16.93,19,-2.07,-0.09,179,90.54,89.39,-1.15,362.17,252,93.28,92.46,-0.82,-0.49
Joey Daccord,SEA,25-26,6,15.82,15,0.82,0.43,168,90.59,91.07,0.49,350.95,254,93.77,94.09,0.32,2.29
Sam Montembeault,MTL,25-26,5,11.76,19,-7.24,-1.16,120,90.2,84.17,-6.03,299.92,184,93.61,89.67,-3.93,-6.14
Darcy Kuemper,L.A,25-26,5,13.01,13,0.01,0.23,125,89.59,89.6,0.01,303.12,187,93.04,93.05,0.0,1.22
Adin Hill,VGK,25-26,5,9.02,10,-0.98,-0.03,89,89.86,88.76,-1.1,219.68,136,93.37,92.65,-0.72,-0.14
Ilya Sorokin,NYI,25-26,5,17.08,19,-1.92,-0.06,149,88.54,87.25,-1.29,292.02,205,91.67,90.73,-0.94,-0.34
Thatcher Demko,VAN,25-26,5,18.8,11,7.8,1.81,151,87.55,92.72,5.17,296.02,233,91.93,95.28,3.35,9.55
Stuart Skinner,EDM,25-26,5,12.64,11,1.64,0.53,121,89.55,90.91,1.36,304.73,195,93.52,94.36,0.84,2.82
Jeremy Swayman,BOS,25-26,5,19.07,15,4.07,1.1,155,87.7,90.32,2.62,298.02,239,92.02,93.72,1.7,5.84
Lukas Dostal,ANA,25-26,5,14.54,14,0.54,0.36,146,90.04,90.41,0.37,300.78,215,93.24,93.49,0.25,1.89
Logan Thompson,WSH,25-26,5,10.58,8,2.58,0.67,109,90.3,92.66,2.37,299.35,182,94.19,95.6,1.42,3.56
Frederik Andersen,CAR,25-26,5,14.68,14,0.68,0.39,142,89.66,90.14,0.48,308.55,209,92.97,93.3,0.33,2.05
Andrei Vasilevskiy,T.B,25-26,5,15.56,17,-1.44,0.0,148,89.49,88.51,-0.97,303.55,224,93.05,92.41,-0.64,0.0
Jake Allen,N.J,25-26,4,10.75,7,3.75,0.9,101,89.36,93.07,3.71,220.0,147,92.69,95.24,2.55,4.75
Cameron Talbot,DET,25-26,4,9.22,6,3.22,0.77,87,89.4,93.1,3.7,202.37,132,93.01,95.45,2.44,4.08
John Gibson,DET,25-26,4,9.61,12,-2.39,-0.28,94,89.78,87.23,-2.54,223.6,152,93.68,92.11,-1.57,-1.5
Akira Schmid,VGK,25-26,4,8.59,9,-0.41,0.07,89,90.35,89.89,-0.46,209.97,137,93.73,93.43,-0.3,0.39
