goalie_against,team,GP,AS_TOI,AS_TOI_Perc,last_team,all_teams,last_update,event_against,AS_xGA,AS_GA,AS_SA,AS_FA,AS_GSAx,AS_GAR,EV_TOI,EV_TOI_Perc,EV_xGA,EV_GA,EV_SA,EV_FA,EV_GSAx,EV_GAR,SH_TOI,SH_TOI_Perc,SH_xGA,SH_GA,SH_SA,SH_FA,SH_GSAx,SH_GAR,PP_TOI,PP_TOI_Perc,PP_xGA,PP_GA,PP_SA,PP_FA,PP_GSAx,PP_GAR,EV_WAR,SH_WAR,PP_WAR,AS_WAR
SCOTT WEDGEWOOD,COL,8,438.51666666666665,0.8939285835626677,COL,COL,2025-10-23 22:57:28,COL,19.7973277571,17,189,286,2.7973277570999997,4.638896987136551,349.85,0.9229247274006332,14.1785164891,13,147,226,1.1785164890999997,2.584079511613437,30.633333333333333,1.0,3.729281138,3,27,39,0.7292811380000002,0.9705291006941863,50.2,0.8055629847552822,0.506750164,1.0,9.0,9.0,-0.49324983600000005,-0.4065138996536153,0.488953382759519,0.18364120945902423,-0.07691959379775197,0.8777610611204241
JUUSE SAROS,NSH,7,426.8833333333333,0.9976629143458108,NSH,NSH,2025-10-23 22:57:28,NSH,23.767158014,18,202,296,5.767158014,7.97800522636188,328.15,1.0,15.221191214,14,154,225,1.2211912139999992,2.730118015012792,44.16666666666667,1.0000000000000002,5.462199446,2,31,47,3.4621994459999996,3.8155502499255824,45.266666666666666,1.0,0.48861217,0.0,3.0,5.0,0.48861217,0.5722435865952376,0.5165864412352111,0.7219693486231736,0.10827857121682781,1.5095791849946414
DUSTIN WOLF,CGY,7,398.51666666666665,0.9354851330203444,CGY,CGY,2025-10-23 22:57:28,CGY,16.9739402286,24,192,263,-7.0260597714,-5.447125158557675,313.1333333333333,0.9407170038053274,10.1053030912,17,133,188,-6.8946969088,-5.892924941528195,36.95,0.992834751455441,6.136201598,7,47,60,-0.8637984019999996,-0.4668462604427095,47.16666666666667,1.0000000000000002,0.7324355394,0.0,12.0,15.0,0.7324355394,0.857800042139911,-1.115045249791519,-0.08833553969458564,0.16231088495945276,-1.0306920745361663
LINUS ULLMARK,OTT,7,423.8833333333333,0.9917719544532836,OTT,OTT,2025-10-23 22:57:28,OTT,19.3778717343,24,180,259,-4.622128265699999,-2.819577296835842,337.1666666666667,1.0,12.9863945213,15,136,196,-2.0136054787000006,-0.7262214319315774,44.349999999999994,1.0,5.370445907,8,34,51,-2.6295540930000003,-2.282138844355617,38.56666666666666,0.9999999999999998,0.6280213610000001,0.0,8.0,9.0,0.6280213610000001,0.7355142138130993,-0.13741389310180238,-0.4318208874222538,0.1391722512002262,-0.5335137138945986
IGOR SHESTERKIN,NYR,7,419.3333333333333,0.9922700741441868,NYR,NYR,2025-10-23 22:57:28,NYR,18.176379054,13,185,279,5.176379054000002,6.867165850582822,348.48333333333335,1.0,12.84040564,11,156,228,1.8404056400000002,3.1133173282948743,34.0,1.0,5.055438446,2,27,48,3.055438446,3.3824757972996764,35.75,1.0,0.09297288799999999,0.0,1.0,2.0,0.09297288799999999,0.10888623360575998,0.5890945044191538,0.6400240301271688,0.020603194297313866,1.2993887988054356
SERGEI BOBROVSKY,FLA,7,415.7,0.9897619047619048,FLA,FLA,2025-10-23 22:57:28,FLA,16.3099508378,18,168,264,-1.6900491622000011,-0.17287957371705787,337.6666666666667,1.0,12.2415158171,11,140,220,1.2415158170999998,2.4550575853983077,29.833333333333336,1.0000000000000002,3.074516252,6,23,34,-2.925483748,-2.7265926602492527,42.61666666666667,1.0,0.1035317237,0.0,3.0,4.0,0.1035317237,0.12125233167334974,0.46454016056975467,-0.5159193819867194,0.022943077979108436,-0.032711861999246514
SPENCER KNIGHT,CHI,6,367.4666666666667,0.9986411812664192,CHI,CHI,2025-10-23 22:57:28,CHI,20.0491867878,12,189,298,8.0491867878,9.91418422223538,289.0,1.0,12.6069779395,7,145,225,5.6069779395,6.856749171280585,44.666666666666664,1.0,6.756335038,4,37,62,2.7563350379999996,3.1934037391467793,30.083333333333336,1.0000000000000002,0.3957537873,0.0,5.0,7.0,0.3957537873,0.46349145714729284,1.297417779508599,0.604248264712953,0.08770075178948648,1.8759383722431715
JORDAN BINNINGTON,STL,6,305.16666666666663,0.8433901427913403,STL,STL,2025-10-23 22:57:28,STL,10.8247268278,14,122,177,-3.1752731722000007,-2.168345161803323,256.8833333333333,0.8377541037069247,8.4336644971,9,103,149,-0.5663355028999995,0.26972142664697785,20.45,1.0,1.796745704,4,12,17,-2.203254296,-2.087022447413225,25.31666666666667,1.0000000000000002,0.1825588967,1.0,6.0,8.0,-0.8174411033,-0.7861941142143932,0.05103604721490162,-0.39490142658984906,-0.14876178148664376,-0.41028911730041767
CONNOR HELLEBUYCK,WPG,6,359.45,0.9984722222222222,WPG,WPG,2025-10-23 22:57:28,WPG,19.1059232395,12,176,261,7.105923239500001,8.883177259890957,282.3666666666667,1.0,11.3098561045,10,130,193,1.3098561044999997,2.431039377986613,36.88333333333333,1.0,6.536280583,1,39,58,5.536280583,5.959113916260571,34.21666666666667,1.0,0.665744831,0.0,4.0,5.0,0.665744831,0.7796944759863027,0.4599954924552525,1.1275693702573684,0.14753193539094306,1.6808536855602274
FILIP GUSTAVSSON,MIN,6,355.58333333333337,0.9877314814814816,MIN,MIN,2025-10-23 22:57:28,MIN,18.6190215343,18,183,269,0.6190215342999998,2.350983421866257,293.43333333333334,1.0,13.4479668045,13,139,214,0.44796680450000004,1.7811080314347514,23.416666666666668,1.0,4.636236258,5,37,47,-0.3637637419999997,-0.06384466633297858,37.03333333333333,1.0,0.3017804018,0.0,7.0,7.0,0.3017804018,0.35343347974771866,0.3370170279653716,-0.012080536003000724,0.06687584291677427,0.4448474947333653
KAREL VEJMELKA,UTA,6,360.6,0.9920674950708424,UTA,UTA,2025-10-23 22:57:28,UTA,17.3447717338,15,144,223,2.3447717337999983,3.9582015016391665,283.29999999999995,0.9999999999999998,12.7145421584,10,116,175,2.7145421584000005,3.9749765853567247,36.4,1.0,4.067642635,5,24,39,-0.9323573649999997,-0.6692207275760822,38.28333333333333,1.0,0.2839892594,0.0,1.0,5.0,0.2839892594,0.3325971851122359,0.7521356208526762,-0.12662835531589547,0.06293324877429288,0.7489614793864745
ANTHONY STOLARZ,TOR,6,359.9833333333333,0.9887841054751876,TOR,TOR,2025-10-23 22:57:28,TOR,18.19605076233,18,170,250,0.19605076232999963,1.8886674428854064,305.0833333333333,1.0,12.10014835863,13,132,199,-0.8998516413700006,0.29967590531598987,28.56666666666667,1.0000000000000002,5.267414263,4,29,40,1.267414263,1.6081643734345672,23.95,1.0,0.3371125577,1.0,7.0,7.0,-0.6628874423,-0.6051868722292735,0.05670396246603352,0.304293040090402,-0.11451202141740528,0.3573691641283892
ALEX LYON,BUF,6,355.25,0.9868055555555556,BUF,BUF,2025-10-23 22:57:28,BUF,21.05174041067,15,198,297,6.05174041067,8.009996487180288,278.98333333333335,1.0,13.262151823770001,14,140,214,-0.7378481762299991,0.5768725998667605,44.35000000000001,1.0000000000000002,7.494987653,1,51,75,6.494987653,6.979839943507128,28.116666666666667,1.0,0.2327137109,0.0,6.0,7.0,0.2327137109,0.27254525521806633,0.1091544621047737,1.320708722839159,0.05157036534480491,1.515632495322595
