Player,Season,Position,Team,GP,TOI,TOI/GP,game_strength,G,A1,A2,P1,P,ixG,iSF,iCF,iFF
A.J. Greer,23-24,F,CGY,59,513.2666666666667,8.699435028248587,AS,6.0,3.0,3.0,9.0,12.0,6.0079165885,57.0,110.0,79.0
A.J. Greer,23-24,F,CGY,59,491.8,8.335593220338984,EV,4.0,3.0,3.0,7.0,10.0,5.4603220385,55.0,108.0,77.0
A.J. Greer,23-24,F,CGY,59,491.8,8.335593220338984,5v5,4.0,3.0,3.0,7.0,10.0,5.4603220385,55.0,108.0,77.0
A.J. Greer,23-24,F,CGY,59,5.75,0.09745762711864407,PP,1.0,0.0,0.0,1.0,1.0,0.13550091,1.0,1.0,1.0
A.J. Greer,23-24,F,CGY,59,15.716666666666669,0.2663841807909605,SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Greer,24-25,F,FLA,81,777.05,9.59320987654321,AS,6.0,10.0,1.0,16.0,17.0,9.537370137298469,86.0,160.0,124.0
A.J. Greer,24-25,F,FLA,81,728.3333333333333,8.991769547325102,EV,4.0,10.0,1.0,14.0,15.0,9.438401176298468,82.0,155.0,119.0
A.J. Greer,24-25,F,FLA,81,728.0,8.987654320987655,5v5,4.0,10.0,1.0,14.0,15.0,9.438401176298468,82.0,155.0,119.0
A.J. Greer,24-25,F,FLA,81,6.8,0.08395061728395062,PP,1.0,0.0,0.0,1.0,1.0,0.040622223,1.0,1.0,1.0
A.J. Greer,24-25,F,FLA,81,39.66666666666667,0.48971193415637865,SH,1.0,0.0,0.0,1.0,1.0,0.0583467379999999,3.0,3.0,3.0
A.J. Greer,25-26,F,FLA,9,75.25,8.36111111111111,AS,2.0,0.0,1.0,2.0,3.0,0.54782762,4.0,8.0,6.0
A.J. Greer,25-26,F,FLA,9,72.5,8.055555555555555,EV,2.0,0.0,1.0,2.0,3.0,0.54782762,4.0,8.0,6.0
A.J. Greer,25-26,F,FLA,9,72.5,8.055555555555555,5v5,2.0,0.0,1.0,2.0,3.0,0.54782762,4.0,8.0,6.0
Aaron Ekblad,23-24,D,FLA,51,1043.5666666666666,20.462091503267974,AS,4.0,6.0,8.0,10.0,18.0,6.2393983351,98.0,219.0,151.0
Aaron Ekblad,23-24,D,FLA,51,817.5,16.029411764705884,EV,3.0,4.0,3.0,7.0,10.0,3.4173658441,72.0,170.0,109.0
Aaron Ekblad,23-24,D,FLA,51,785.5333333333333,15.402614379084966,5v5,3.0,4.0,3.0,7.0,10.0,2.7734771821,68.0,166.0,105.0
Aaron Ekblad,23-24,D,FLA,51,72.35,1.418627450980392,PP,1.0,1.0,2.0,2.0,4.0,2.339721548,20.0,37.0,32.0
Aaron Ekblad,23-24,D,FLA,51,153.71666666666667,3.0140522875816993,SH,0.0,0.0,0.0,0.0,0.0,0.1036821929999999,5.0,7.0,6.0
Aaron Ekblad,24-25,D,FLA,56,1316.6999999999998,23.512499999999996,AS,3.0,14.0,16.0,17.0,33.0,5.2238040357,106.0,275.0,178.0
Aaron Ekblad,24-25,D,FLA,56,1001.7333333333332,17.888095238095236,EV,3.0,6.0,9.0,9.0,18.0,3.1346968307,74.0,206.0,136.0
Aaron Ekblad,24-25,D,FLA,56,970.4833333333332,17.33005952380952,5v5,3.0,6.0,9.0,9.0,18.0,2.7618865217,72.0,200.0,131.0
