player,team,goals,primary_assists,secondary_assists,ixG,iSF,iCF,iFF,game_strength,Pos,GP,TOI,last_update
A.J. GREER,FLA,2.0,0.0,1.0,0.54782762,4.0,8.0,6.0,AS,F,9,75.25,2025-10-23 22:57:19
GUSTAV FORSLING,FLA,0.0,1.0,3.0,0.3382648723,12.0,29.0,16.0,AS,D,9,201.81666666666663,2025-10-23 22:57:19
LUKE KUNIN,FLA,0.0,1.0,0.0,0.865939314,5.0,11.0,8.0,AS,F,9,96.0,2025-10-23 22:57:19
LANE HUTSON,MTL,1.0,4.0,3.0,0.9045937655,14.0,29.0,16.0,AS,D,9,201.68333333333337,2025-10-23 22:57:19
JURAJ SLAFKOVSKY,MTL,3.0,0.0,0.0,2.9010175093,21.0,40.0,31.0,AS,F,9,164.4,2025-10-23 22:57:19
AARON EKBLAD,FLA,1.0,1.0,1.0,0.943364449,15.0,34.0,19.0,AS,D,9,214.56666666666663,2025-10-23 22:57:19
JONAH GADJOVICH,FLA,0.0,2.0,0.0,0.362222326,6.0,9.0,6.0,AS,F,9,69.68333333333334,2025-10-23 22:57:19
JESPER BOQVIST,FLA,1.0,0.0,0.0,0.5163666445,8.0,15.0,11.0,AS,F,9,104.46666666666668,2025-10-23 22:57:19
JEFF PETRY,FLA,0.0,1.0,1.0,0.2264158563,6.0,19.0,11.0,AS,D,9,135.26666666666668,2025-10-23 22:57:19
JAKE EVANS,MTL,1.0,0.0,1.0,2.4822253918,13.0,28.0,20.0,AS,F,9,145.35000000000002,2025-10-23 22:57:19
J.T. MILLER,NYR,2.0,1.0,3.0,3.7606137107,21.0,41.0,35.0,AS,F,9,189.31666666666663,2025-10-23 22:57:19
IVAN DEMIDOV,MTL,1.0,4.0,1.0,1.125259225,8.0,25.0,16.0,AS,F,9,125.86666666666667,2025-10-23 22:57:19
HENRI JOKIHARJU,BOS,0.0,2.0,1.0,0.251584421,9.0,26.0,14.0,AS,D,9,161.35,2025-10-23 22:57:19
FRASER MINTEN,BOS,1.0,0.0,0.0,1.8111529504,12.0,23.0,19.0,AS,F,9,115.46666666666668,2025-10-23 22:57:19
ANTON LUNDELL,FLA,2.0,3.0,2.0,2.8630082819,21.0,42.0,32.0,AS,F,9,162.75,2025-10-23 22:57:19
EVAN RODRIGUES,FLA,2.0,1.0,1.0,1.8204996357,17.0,30.0,25.0,AS,F,9,143.31666666666666,2025-10-23 22:57:19
ELIAS LINDHOLM,BOS,3.0,1.0,3.0,2.6407196601,19.0,37.0,25.0,AS,F,9,165.61666666666667,2025-10-23 22:57:19
EETU LUOSTARINEN,FLA,1.0,1.0,0.0,2.0570309316,13.0,21.0,18.0,AS,F,9,148.11666666666667,2025-10-23 22:57:19
DAVID PASTRNAK,BOS,5.0,5.0,2.0,4.1158035361,36.0,78.0,50.0,AS,F,9,181.01666666666665,2025-10-23 22:57:19
CONOR SHEARY,NYR,0.0,2.0,1.0,1.2343641133,11.0,24.0,18.0,AS,F,9,147.2,2025-10-23 22:57:19
COLE CAUFIELD,MTL,7.0,3.0,0.0,3.7874430902,26.0,48.0,38.0,AS,F,9,166.73333333333335,2025-10-23 22:57:19
CHARLIE MCAVOY,BOS,0.0,4.0,2.0,1.2687563922,17.0,35.0,28.0,AS,D,9,220.41666666666669,2025-10-23 22:57:19
CARTER VERHAEGHE,FLA,2.0,0.0,1.0,3.647245979,23.0,47.0,33.0,AS,F,9,161.28333333333333,2025-10-23 22:57:19
BRENDAN GALLAGHER,MTL,0.0,3.0,3.0,1.963732632,14.0,25.0,18.0,AS,F,9,125.71666666666668,2025-10-23 22:57:19
BRADEN SCHNEIDER,NYR,0.0,2.0,0.0,0.4178512073,13.0,30.0,18.0,AS,D,9,162.7,2025-10-23 22:57:19
BRAD MARCHAND,FLA,5.0,4.0,1.0,3.522856563,32.0,53.0,44.0,AS,F,9,165.11666666666667,2025-10-23 22:57:19
MACKIE SAMOSKEVICH,FLA,2.0,4.0,0.0,3.2076872223,25.0,45.0,34.0,AS,F,9,133.41666666666669,2025-10-23 22:57:19
MARK KASTELIC,BOS,2.0,0.0,1.0,1.2569949017,11.0,23.0,21.0,AS,F,9,112.13333333333334,2025-10-23 22:57:19
MASON LOHREI,BOS,1.0,1.0,1.0,0.965152693,8.0,31.0,18.0,AS,D,9,161.35000000000002,2025-10-23 22:57:19
MATT REMPE,NYR,1.0,0.0,0.0,1.494369605,8.0,17.0,13.0,AS,F,9,88.26666666666667,2025-10-23 22:57:19
ZACHARY BOLDUC,MTL,4.0,1.0,0.0,2.6092090487,19.0,31.0,24.0,AS,F,9,121.01666666666668,2025-10-23 22:57:19
