team,game_strength,targetF,targetA,metric,score_adjusted,TOI,last_update
ANA,5v5,2.8117712082890822,2.288518568792732,xGF,True,51.016666666666666,2025-10-10 10:29:53
BOS,5v5,4.180394499236105,4.131854188920538,xGF,True,93.26666666666667,2025-10-10 10:29:53
BUF,5v5,1.3538672128131415,1.5617661108538523,xGF,True,43.85,2025-10-10 10:29:53
CAR,5v5,2.5532300171278264,1.4126272815738223,xGF,True,49.21666666666667,2025-10-10 10:29:53
CBJ,5v5,2.6267821223068535,1.5206208999053854,xGF,True,48.583333333333336,2025-10-10 10:29:53
CGY,5v5,1.9478956786926485,2.582473547361125,xGF,True,89.5,2025-10-10 10:29:53
CHI,5v5,3.623297965292471,5.504952431068145,xGF,True,95.66666666666667,2025-10-10 10:29:53
COL,5v5,3.301977327433996,3.5900630891305543,xGF,True,88.16666666666667,2025-10-10 10:29:53
DAL,5v5,2.618571124748808,1.0977521790138374,xGF,True,40.88333333333333,2025-10-10 10:29:53
DET,5v5,1.7760158255575125,1.0363390684449443,xGF,True,46.28333333333333,2025-10-10 10:29:53
EDM,5v5,1.388404790925424,0.7312642557700202,xGF,True,48.75,2025-10-10 10:29:53
FLA,5v5,4.76723039389722,3.3823662910800696,xGF,True,96.56666666666666,2025-10-10 10:29:53
L.A,5v5,2.537024591628532,3.3300458560748423,xGF,True,89.03333333333333,2025-10-10 10:29:53
MIN,5v5,1.9128693153472045,2.278806885598741,xGF,True,51.86666666666667,2025-10-10 10:29:53
MTL,5v5,3.630564666675115,3.6393605815928893,xGF,True,96.53333333333333,2025-10-10 10:29:53
N.J,5v5,1.4126272815738223,2.5532300171278264,xGF,True,49.21666666666667,2025-10-10 10:29:53
NSH,5v5,1.5206208999053854,2.6267821223068535,xGF,True,48.583333333333336,2025-10-10 10:29:53
NYI,5v5,1.9887558249446218,2.1190863099251445,xGF,True,45.3,2025-10-10 10:29:53
NYR,5v5,3.420498848946769,4.1107802588654705,xGF,True,97.46666666666667,2025-10-10 10:29:53
OTT,5v5,2.563192282497177,1.0877715511398458,xGF,True,47.05,2025-10-10 10:29:53
PHI,5v5,1.7777323679756338,1.785232305759632,xGF,True,47.2,2025-10-10 10:29:53
PIT,5v5,4.8759993559774735,3.8474885630375386,xGF,True,98.91666666666667,2025-10-10 10:29:53
S.J,5v5,1.703714015649849,2.0614122247963405,xGF,True,45.68333333333333,2025-10-10 10:29:53
SEA,5v5,2.288518568792732,2.8117712082890822,xGF,True,51.016666666666666,2025-10-10 10:29:53
STL,5v5,2.278806885598741,1.9128693153472045,xGF,True,51.86666666666667,2025-10-10 10:29:53
T.B,5v5,1.0877715511398458,2.563192282497177,xGF,True,47.05,2025-10-10 10:29:53
TOR,5v5,1.8633447560353766,2.5942255982301705,xGF,True,50.25,2025-10-10 10:29:53
UTA,5v5,2.42575934258697,1.9200794658362423,xGF,True,47.03333333333333,2025-10-10 10:29:53
VAN,5v5,1.1940687564357009,1.2166314229226283,xGF,True,40.75,2025-10-10 10:29:53
VGK,5v5,4.009560219273429,3.076434860734797,xGF,True,93.58333333333333,2025-10-10 10:29:53
WPG,5v5,1.0977521790138374,2.618571124748808,xGF,True,40.88333333333333,2025-10-10 10:29:53
WSH,5v5,2.113190146732503,1.6574401563055474,xGF,True,46.96666666666667,2025-10-10 10:29:53
ANA,5v5,2.7496626455,2.3124339653,xGF,False,51.016666666666666,2025-10-10 10:29:53
BOS,5v5,4.1850579221999995,4.1562604517,xGF,False,93.26666666666667,2025-10-10 10:29:53
BUF,5v5,1.4288948096,1.4836354524000002,xGF,False,43.85,2025-10-10 10:29:53
CAR,5v5,2.6022634503,1.3833110505,xGF,False,49.21666666666667,2025-10-10 10:29:53
CBJ,5v5,2.5463377682,1.5544138893,xGF,False,48.583333333333336,2025-10-10 10:29:53
CGY,5v5,1.9207789066,2.6079027414000002,xGF,False,89.5,2025-10-10 10:29:53
CHI,5v5,3.5089169175,5.6575666684,xGF,False,95.66666666666667,2025-10-10 10:29:53
COL,5v5,3.2486579062,3.6361152246,xGF,False,88.16666666666667,2025-10-10 10:29:53
DAL,5v5,2.4502647929,1.1689427424,xGF,False,40.88333333333333,2025-10-10 10:29:53
DET,5v5,1.9260627351,0.9576367265,xGF,False,46.28333333333333,2025-10-10 10:29:53
EDM,5v5,1.4077063423,0.7239777537000001,xGF,False,48.75,2025-10-10 10:29:53
FLA,5v5,4.8774685278,3.3022890676,xGF,False,96.56666666666666,2025-10-10 10:29:53
L.A,5v5,2.563172639,3.3206757815,xGF,False,89.03333333333333,2025-10-10 10:29:53
MIN,5v5,1.7468814752,2.4673226317,xGF,False,51.86666666666667,2025-10-10 10:29:53
MTL,5v5,3.468624262,3.8518151386,xGF,False,96.53333333333333,2025-10-10 10:29:53
N.J,5v5,1.3833110505,2.6022634503,xGF,False,49.21666666666667,2025-10-10 10:29:53
NSH,5v5,1.5544138893,2.5463377682,xGF,False,48.583333333333336,2025-10-10 10:29:53
NYI,5v5,1.9412832077,2.17986558355,xGF,False,45.3,2025-10-10 10:29:53
NYR,5v5,3.4336760819,4.0478392392,xGF,False,97.46666666666667,2025-10-10 10:29:53
OTT,5v5,2.5154640456,1.1054960371,xGF,False,47.05,2025-10-10 10:29:53
PHI,5v5,1.7405705254,1.8216093374,xGF,False,47.2,2025-10-10 10:29:53
PIT,5v5,4.79881001315,3.8913238372,xGF,False,98.91666666666667,2025-10-10 10:29:53
S.J,5v5,1.7453970945,2.0129156472,xGF,False,45.68333333333333,2025-10-10 10:29:53
SEA,5v5,2.3124339653,2.7496626455,xGF,False,51.016666666666666,2025-10-10 10:29:53
STL,5v5,2.4673226317,1.7468814752,xGF,False,51.86666666666667,2025-10-10 10:29:53
T.B,5v5,1.1054960371,2.5154640456,xGF,False,47.05,2025-10-10 10:29:53
TOR,5v5,1.9257524035,2.5109875355,xGF,False,50.25,2025-10-10 10:29:53
UTA,5v5,2.3839870785,1.9585513159,xGF,False,47.03333333333333,2025-10-10 10:29:53
VAN,5v5,1.2001963991,1.1968011529,xGF,False,40.75,2025-10-10 10:29:53
VGK,5v5,4.0434848384,3.0564415874,xGF,False,93.58333333333333,2025-10-10 10:29:53
WPG,5v5,1.1689427424,2.4502647929,xGF,False,40.88333333333333,2025-10-10 10:29:53
WSH,5v5,2.2090620764,1.5833504442,xGF,False,46.96666666666667,2025-10-10 10:29:53
ANA,5v5,70.88703059620022,50.86703863809297,CF,True,51.016666666666666,2025-10-10 10:29:53
BOS,5v5,90.70041057746768,93.22732469053742,CF,True,93.26666666666667,2025-10-10 10:29:53
BUF,5v5,46.43221332438236,44.28805717724266,CF,True,43.85,2025-10-10 10:29:53
CAR,5v5,57.71156483820027,36.34782292865026,CF,True,49.21666666666667,2025-10-10 10:29:53
CBJ,5v5,60.159980684110884,42.65837334174703,CF,True,48.583333333333336,2025-10-10 10:29:53
CGY,5v5,77.46851684444432,79.75698774449027,CF,True,89.5,2025-10-10 10:29:53
CHI,5v5,84.04464402789648,99.27202807119816,CF,True,95.66666666666667,2025-10-10 10:29:53
COL,5v5,94.90884337257812,94.8186728693889,CF,True,88.16666666666667,2025-10-10 10:29:53
DAL,5v5,42.67968774905926,31.94055910090612,CF,True,40.88333333333333,2025-10-10 10:29:53
DET,5v5,41.75799334437188,30.53085518240708,CF,True,46.28333333333333,2025-10-10 10:29:53
EDM,5v5,47.37449378785255,37.60116371013869,CF,True,48.75,2025-10-10 10:29:53
FLA,5v5,99.45061273236477,74.73693284468881,CF,True,96.56666666666666,2025-10-10 10:29:53
L.A,5v5,82.59704227453044,92.96248702949107,CF,True,89.03333333333333,2025-10-10 10:29:53
MIN,5v5,50.14514867227904,48.70082397147095,CF,True,51.86666666666667,2025-10-10 10:29:53
MTL,5v5,83.43595397609162,85.22206437171339,CF,True,96.53333333333333,2025-10-10 10:29:53
N.J,5v5,36.34782292865026,57.71156483820027,CF,True,49.21666666666667,2025-10-10 10:29:53
NSH,5v5,42.65837334174703,60.159980684110884,CF,True,48.583333333333336,2025-10-10 10:29:53
NYI,5v5,46.10236697630217,45.537259312472386,CF,True,45.3,2025-10-10 10:29:53
NYR,5v5,95.05734287022909,108.37897213383627,CF,True,97.46666666666667,2025-10-10 10:29:53
OTT,5v5,53.028042698172655,38.90478191435548,CF,True,47.05,2025-10-10 10:29:53
PHI,5v5,34.66555852274439,40.527513319475446,CF,True,47.2,2025-10-10 10:29:53
PIT,5v5,107.48401812192631,96.8716526692886,CF,True,98.91666666666667,2025-10-10 10:29:53
S.J,5v5,35.990834442569614,46.55996473646149,CF,True,45.68333333333333,2025-10-10 10:29:53
SEA,5v5,50.86703863809297,70.88703059620022,CF,True,51.016666666666666,2025-10-10 10:29:53
STL,5v5,48.70082397147095,50.14514867227904,CF,True,51.86666666666667,2025-10-10 10:29:53
T.B,5v5,38.90478191435548,53.028042698172655,CF,True,47.05,2025-10-10 10:29:53
TOR,5v5,43.464071027341504,52.905098793684544,CF,True,50.25,2025-10-10 10:29:53
UTA,5v5,51.06615411535905,53.745698149806614,CF,True,47.03333333333333,2025-10-10 10:29:53
VAN,5v5,32.38249395663773,39.86735313430563,CF,True,40.75,2025-10-10 10:29:53
VGK,5v5,98.35930654318106,74.8353579630702,CF,True,93.58333333333333,2025-10-10 10:29:53
WPG,5v5,31.94055910090612,42.67968774905926,CF,True,40.88333333333333,2025-10-10 10:29:53
WSH,5v5,49.25405498458536,50.35148191915883,CF,True,46.96666666666667,2025-10-10 10:29:53
ANA,5v5,72.0,49.0,CF,False,51.016666666666666,2025-10-10 10:29:53
BOS,5v5,89.0,95.0,CF,False,93.26666666666667,2025-10-10 10:29:53
BUF,5v5,50.0,41.0,CF,False,43.85,2025-10-10 10:29:53
CAR,5v5,57.0,37.0,CF,False,49.21666666666667,2025-10-10 10:29:53
CBJ,5v5,60.0,42.0,CF,False,48.583333333333336,2025-10-10 10:29:53
CGY,5v5,80.0,77.0,CF,False,89.5,2025-10-10 10:29:53
CHI,5v5,83.0,100.0,CF,False,95.66666666666667,2025-10-10 10:29:53
COL,5v5,91.0,100.0,CF,False,88.16666666666667,2025-10-10 10:29:53
DAL,5v5,39.0,35.0,CF,False,40.88333333333333,2025-10-10 10:29:53
DET,5v5,46.0,27.0,CF,False,46.28333333333333,2025-10-10 10:29:53
EDM,5v5,46.0,39.0,CF,False,48.75,2025-10-10 10:29:53
FLA,5v5,99.0,75.0,CF,False,96.56666666666666,2025-10-10 10:29:53
L.A,5v5,85.0,92.0,CF,False,89.03333333333333,2025-10-10 10:29:53
MIN,5v5,44.0,54.0,CF,False,51.86666666666667,2025-10-10 10:29:53
MTL,5v5,79.0,90.0,CF,False,96.53333333333333,2025-10-10 10:29:53
N.J,5v5,37.0,57.0,CF,False,49.21666666666667,2025-10-10 10:29:53
NSH,5v5,42.0,60.0,CF,False,48.583333333333336,2025-10-10 10:29:53
NYI,5v5,46.0,46.0,CF,False,45.3,2025-10-10 10:29:53
NYR,5v5,95.0,108.0,CF,False,97.46666666666667,2025-10-10 10:29:53
OTT,5v5,54.0,38.0,CF,False,47.05,2025-10-10 10:29:53
PHI,5v5,35.0,40.0,CF,False,47.2,2025-10-10 10:29:53
PIT,5v5,104.0,100.0,CF,False,98.91666666666667,2025-10-10 10:29:53
S.J,5v5,36.0,47.0,CF,False,45.68333333333333,2025-10-10 10:29:53
SEA,5v5,49.0,72.0,CF,False,51.016666666666666,2025-10-10 10:29:53
STL,5v5,54.0,44.0,CF,False,51.86666666666667,2025-10-10 10:29:53
T.B,5v5,38.0,54.0,CF,False,47.05,2025-10-10 10:29:53
TOR,5v5,44.0,52.0,CF,False,50.25,2025-10-10 10:29:53
UTA,5v5,52.0,53.0,CF,False,47.03333333333333,2025-10-10 10:29:53
VAN,5v5,31.0,41.0,CF,False,40.75,2025-10-10 10:29:53
VGK,5v5,101.0,73.0,CF,False,93.58333333333333,2025-10-10 10:29:53
WPG,5v5,35.0,39.0,CF,False,40.88333333333333,2025-10-10 10:29:53
WSH,5v5,52.0,48.0,CF,False,46.96666666666667,2025-10-10 10:29:53
ANA,5v5,46.79173424089538,43.15495686055017,FF,True,51.016666666666666,2025-10-10 10:29:53
BOS,5v5,73.15402176549838,62.18077137245635,FF,True,93.26666666666667,2025-10-10 10:29:53
BUF,5v5,35.73272664155239,35.27971129748928,FF,True,43.85,2025-10-10 10:29:53
CAR,5v5,42.20022300481688,25.772630686501884,FF,True,49.21666666666667,2025-10-10 10:29:53
CBJ,5v5,43.36882445147761,30.13452129266083,FF,True,48.583333333333336,2025-10-10 10:29:53
CGY,5v5,51.212345447529806,56.39800954516066,FF,True,89.5,2025-10-10 10:29:53
CHI,5v5,57.804470935874605,75.22389857992736,FF,True,95.66666666666667,2025-10-10 10:29:53
COL,5v5,58.36397286846416,65.16474631182754,FF,True,88.16666666666667,2025-10-10 10:29:53
DAL,5v5,36.84795005513008,17.63092889598208,FF,True,40.88333333333333,2025-10-10 10:29:53
DET,5v5,28.033663506567994,18.902919424609543,FF,True,46.28333333333333,2025-10-10 10:29:53
EDM,5v5,30.65989446677987,23.478145431303474,FF,True,48.75,2025-10-10 10:29:53
FLA,5v5,74.85496371207623,57.16605055332744,FF,True,96.56666666666666,2025-10-10 10:29:53
L.A,5v5,50.67740406353537,62.59713581010085,FF,True,89.03333333333333,2025-10-10 10:29:53
MIN,5v5,33.51905302695438,34.4770387950548,FF,True,51.86666666666667,2025-10-10 10:29:53
MTL,5v5,54.38975195228742,58.581082431889904,FF,True,96.53333333333333,2025-10-10 10:29:53
N.J,5v5,25.772630686501884,42.20022300481688,FF,True,49.21666666666667,2025-10-10 10:29:53
NSH,5v5,30.13452129266083,43.36882445147761,FF,True,48.583333333333336,2025-10-10 10:29:53
NYI,5v5,31.052547127593535,33.492781524225585,FF,True,45.3,2025-10-10 10:29:53
NYR,5v5,68.58791889370478,77.03942129368563,FF,True,97.46666666666667,2025-10-10 10:29:53
OTT,5v5,36.75761959941887,29.49121108558326,FF,True,47.05,2025-10-10 10:29:53
PHI,5v5,29.98203127335785,33.12159576304094,FF,True,47.2,2025-10-10 10:29:53
PIT,5v5,74.79947617635882,64.36075472380904,FF,True,98.91666666666667,2025-10-10 10:29:53
S.J,5v5,26.927632998231008,35.926213753956155,FF,True,45.68333333333333,2025-10-10 10:29:53
SEA,5v5,43.15495686055017,46.79173424089538,FF,True,51.016666666666666,2025-10-10 10:29:53
STL,5v5,34.4770387950548,33.51905302695438,FF,True,51.86666666666667,2025-10-10 10:29:53
T.B,5v5,29.49121108558326,36.75761959941887,FF,True,47.05,2025-10-10 10:29:53
TOR,5v5,30.54741892532191,35.486832527677876,FF,True,50.25,2025-10-10 10:29:53
UTA,5v5,38.59366631216125,31.203484057470767,FF,True,47.03333333333333,2025-10-10 10:29:53
VAN,5v5,25.73811507838079,27.734200016226335,FF,True,40.75,2025-10-10 10:29:53
VGK,5v5,71.36286075306361,51.03395706210008,FF,True,93.58333333333333,2025-10-10 10:29:53
WPG,5v5,17.63092889598208,36.84795005513008,FF,True,40.88333333333333,2025-10-10 10:29:53
WSH,5v5,31.560319716551334,39.66349113460629,FF,True,46.96666666666667,2025-10-10 10:29:53
ANA,5v5,47.0,42.0,FF,False,51.016666666666666,2025-10-10 10:29:53
BOS,5v5,72.0,63.0,FF,False,93.26666666666667,2025-10-10 10:29:53
BUF,5v5,38.0,33.0,FF,False,43.85,2025-10-10 10:29:53
CAR,5v5,42.0,26.0,FF,False,49.21666666666667,2025-10-10 10:29:53
CBJ,5v5,43.0,30.0,FF,False,48.583333333333336,2025-10-10 10:29:53
CGY,5v5,52.0,55.0,FF,False,89.5,2025-10-10 10:29:53
CHI,5v5,57.0,76.0,FF,False,95.66666666666667,2025-10-10 10:29:53
COL,5v5,56.0,68.0,FF,False,88.16666666666667,2025-10-10 10:29:53
DAL,5v5,34.0,19.0,FF,False,40.88333333333333,2025-10-10 10:29:53
DET,5v5,31.0,17.0,FF,False,46.28333333333333,2025-10-10 10:29:53
EDM,5v5,30.0,24.0,FF,False,48.75,2025-10-10 10:29:53
FLA,5v5,75.0,57.0,FF,False,96.56666666666666,2025-10-10 10:29:53
L.A,5v5,52.0,62.0,FF,False,89.03333333333333,2025-10-10 10:29:53
MIN,5v5,30.0,38.0,FF,False,51.86666666666667,2025-10-10 10:29:53
MTL,5v5,52.0,62.0,FF,False,96.53333333333333,2025-10-10 10:29:53
N.J,5v5,26.0,42.0,FF,False,49.21666666666667,2025-10-10 10:29:53
NSH,5v5,30.0,43.0,FF,False,48.583333333333336,2025-10-10 10:29:53
NYI,5v5,31.0,34.0,FF,False,45.3,2025-10-10 10:29:53
NYR,5v5,68.0,77.0,FF,False,97.46666666666667,2025-10-10 10:29:53
OTT,5v5,37.0,29.0,FF,False,47.05,2025-10-10 10:29:53
PHI,5v5,30.0,33.0,FF,False,47.2,2025-10-10 10:29:53
PIT,5v5,73.0,66.0,FF,False,98.91666666666667,2025-10-10 10:29:53
S.J,5v5,27.0,36.0,FF,False,45.68333333333333,2025-10-10 10:29:53
SEA,5v5,42.0,47.0,FF,False,51.016666666666666,2025-10-10 10:29:53
STL,5v5,38.0,30.0,FF,False,51.86666666666667,2025-10-10 10:29:53
T.B,5v5,29.0,37.0,FF,False,47.05,2025-10-10 10:29:53
TOR,5v5,31.0,35.0,FF,False,50.25,2025-10-10 10:29:53
UTA,5v5,39.0,31.0,FF,False,47.03333333333333,2025-10-10 10:29:53
VAN,5v5,25.0,28.0,FF,False,40.75,2025-10-10 10:29:53
VGK,5v5,73.0,50.0,FF,False,93.58333333333333,2025-10-10 10:29:53
WPG,5v5,19.0,34.0,FF,False,40.88333333333333,2025-10-10 10:29:53
WSH,5v5,33.0,38.0,FF,False,46.96666666666667,2025-10-10 10:29:53
ANA,5v5,1.0308555399719497,2.9023458550520056,GF,True,51.016666666666666,2025-10-10 10:29:53
BOS,5v5,2.9732001633490097,4.0692072721737755,GF,True,93.26666666666667,2025-10-10 10:29:53
BUF,5v5,0.0,3.1409280900562395,GF,True,43.85,2025-10-10 10:29:53
CAR,5v5,3.85610662235211,3.092566619915849,GF,True,49.21666666666667,2025-10-10 10:29:53
CBJ,5v5,1.0308555399719497,0.9657039711191336,GF,True,48.583333333333336,2025-10-10 10:29:53
CGY,5v5,3.0840874791354476,5.816032989495833,GF,True,89.5,2025-10-10 10:29:53
CHI,5v5,5.166210030768562,3.8727569158453057,GF,True,95.66666666666667,2025-10-10 10:29:53
COL,5v5,4.106632061175373,0.0,GF,True,88.16666666666667,2025-10-10 10:29:53
DAL,5v5,4.252847147507518,1.9070098905302273,GF,True,40.88333333333333,2025-10-10 10:29:53
DET,5v5,0.0,4.171783630028189,GF,True,46.28333333333333,2025-10-10 10:29:53
EDM,5v5,0.9709379128137384,2.0574715095536984,GF,True,48.75,2025-10-10 10:29:53
FLA,5v5,2.9020824290417866,3.0985327853702564,GF,True,96.56666666666666,2025-10-10 10:29:53
L.A,5v5,3.093160835922106,6.013905377715819,GF,True,89.03333333333333,2025-10-10 10:29:53
MIN,5v5,4.280474353401435,0.0,GF,True,51.86666666666667,2025-10-10 10:29:53
MTL,5v5,5.208605335454546,2.9020824290417866,GF,True,96.53333333333333,2025-10-10 10:29:53
N.J,5v5,3.092566619915849,3.85610662235211,GF,True,49.21666666666667,2025-10-10 10:29:53
NSH,5v5,0.9657039711191336,1.0308555399719497,GF,True,48.583333333333336,2025-10-10 10:29:53
NYI,5v5,3.0985327853702564,1.9363784579226528,GF,True,45.3,2025-10-10 10:29:53
NYR,5v5,3.1409280900562395,1.0368217054263569,GF,True,97.46666666666667,2025-10-10 10:29:53
OTT,5v5,3.11234583329456,0.9709379128137384,GF,True,47.05,2025-10-10 10:29:53
PHI,5v5,1.0308555399719497,0.9657039711191336,GF,True,47.2,2025-10-10 10:29:53
PIT,5v5,2.9732001633490097,3.0985327853702564,GF,True,98.91666666666667,2025-10-10 10:29:53
S.J,5v5,1.9314079422382673,1.0308555399719497,GF,True,45.68333333333333,2025-10-10 10:29:53
SEA,5v5,2.9023458550520056,1.0308555399719497,GF,True,51.016666666666666,2025-10-10 10:29:53
STL,5v5,0.0,4.280474353401435,GF,True,51.86666666666667,2025-10-10 10:29:53
T.B,5v5,0.9709379128137384,3.11234583329456,GF,True,47.05,2025-10-10 10:29:53
TOR,5v5,2.9020824290417866,1.0368217054263569,GF,True,50.25,2025-10-10 10:29:53
UTA,5v5,0.0,0.9657039711191336,GF,True,47.03333333333333,2025-10-10 10:29:53
VAN,5v5,4.845095076682094,1.026615969581749,GF,True,40.75,2025-10-10 10:29:53
VGK,5v5,3.90383282763153,5.024568778160373,GF,True,93.58333333333333,2025-10-10 10:29:53
WPG,5v5,1.9070098905302273,4.252847147507518,GF,True,40.88333333333333,2025-10-10 10:29:53
WSH,5v5,0.9706744868035192,1.0368217054263569,GF,True,46.96666666666667,2025-10-10 10:29:53
ANA,5v5,1.0,3.0,GF,False,51.016666666666666,2025-10-10 10:29:53
BOS,5v5,3.0,4.0,GF,False,93.26666666666667,2025-10-10 10:29:53
BUF,5v5,0.0,3.0,GF,False,43.85,2025-10-10 10:29:53
CAR,5v5,4.0,3.0,GF,False,49.21666666666667,2025-10-10 10:29:53
CBJ,5v5,1.0,1.0,GF,False,48.583333333333336,2025-10-10 10:29:53
CGY,5v5,3.0,6.0,GF,False,89.5,2025-10-10 10:29:53
CHI,5v5,5.0,4.0,GF,False,95.66666666666667,2025-10-10 10:29:53
COL,5v5,4.0,0.0,GF,False,88.16666666666667,2025-10-10 10:29:53
DAL,5v5,4.0,2.0,GF,False,40.88333333333333,2025-10-10 10:29:53
DET,5v5,0.0,4.0,GF,False,46.28333333333333,2025-10-10 10:29:53
EDM,5v5,1.0,2.0,GF,False,48.75,2025-10-10 10:29:53
FLA,5v5,3.0,3.0,GF,False,96.56666666666666,2025-10-10 10:29:53
L.A,5v5,3.0,6.0,GF,False,89.03333333333333,2025-10-10 10:29:53
MIN,5v5,4.0,0.0,GF,False,51.86666666666667,2025-10-10 10:29:53
MTL,5v5,5.0,3.0,GF,False,96.53333333333333,2025-10-10 10:29:53
N.J,5v5,3.0,4.0,GF,False,49.21666666666667,2025-10-10 10:29:53
