game_id,game_date,home_team,away_team,event_team,cf,ff,sf,gf,xG,game_strength,winner,how
2025020021,2025-10-09,SEA,ANA,SEA,53,46,31,3,2.5123948003,All Situations,SEA,regulation
2025020017,2025-10-09,WPG,DAL,DAL,39,34,24,4,2.4502647929,5v5,DAL,regulation
2025020018,2025-10-09,COL,UTA,COL,53,31,23,1,1.9585513159,5v5,COL,regulation
2025020018,2025-10-09,COL,UTA,UTA,52,39,25,0,2.3839870785,5v5,COL,regulation
2025020016,2025-10-09,NSH,CBJ,CBJ,72,51,39,1,3.0285807662,All Situations,NSH,regulation
2025020019,2025-10-09,VAN,CGY,VAN,31,25,17,5,1.2001963991,5v5,VAN,regulation
2025020020,2025-10-09,S.J,VGK,S.J,36,27,19,2,1.7453970945,5v5,VGK,overtime
2025020020,2025-10-09,S.J,VGK,VGK,47,36,24,1,2.0129156472,5v5,VGK,overtime
2025020021,2025-10-09,SEA,ANA,ANA,72,47,31,1,2.7496626455,5v5,SEA,regulation
2025020021,2025-10-09,SEA,ANA,SEA,49,42,30,3,2.3124339653,5v5,SEA,regulation
2025020019,2025-10-09,VAN,CGY,CGY,55,36,18,1,2.6827386869,All Situations,VAN,regulation
2025020018,2025-10-09,COL,UTA,UTA,62,48,33,1,3.1041118785,All Situations,COL,regulation
2025020018,2025-10-09,COL,UTA,COL,65,42,27,2,3.6465679729,All Situations,COL,regulation
2025020017,2025-10-09,WPG,DAL,WPG,56,36,25,4,2.8270912915,All Situations,DAL,regulation
2025020017,2025-10-09,WPG,DAL,DAL,58,49,37,5,4.0825051449,All Situations,DAL,regulation
2025020016,2025-10-09,NSH,CBJ,NSH,60,45,32,2,2.9663423133,All Situations,NSH,regulation
2025020008,2025-10-09,BOS,CHI,BOS,56,48,33,4,4.256503042,All Situations,BOS,overtime
2025020008,2025-10-09,BOS,CHI,CHI,51,35,24,3,2.5111269673,All Situations,BOS,overtime
