event_team,game_strength,cf,ff,sf,gf,xG
CAR,5v5,233,164,104,9,9.0838277873
CAR,All Situations,283,201,125,13,14.710985365300001
COL,5v5,171,122,76,9,7.3342322587
COL,All Situations,217,158,103,13,12.2810674667
DAL,5v5,129,88,52,6,6.4495074489
DAL,All Situations,166,115,75,11,9.3387899429
EDM,5v5,187,134,87,2,6.7999096389981135
EDM,All Situations,216,159,105,4,9.128131370147372
FLA,5v5,176,138,86,2,6.424307049710146
FLA,All Situations,237,181,115,7,10.823340085742474
L.A,5v5,180,139,89,8,7.8369174594493085
L.A,All Situations,242,184,124,12,13.101354655969343
MIN,5v5,124,91,58,4,5.7790605821
MIN,All Situations,136,97,62,4,6.3091658361
MTL,5v5,117,72,47,5,4.3919387489
MTL,All Situations,168,109,69,8,8.8285877534
N.J,5v5,179,135,80,9,8.6256699811
N.J,All Situations,215,161,93,12,11.2346699611
OTT,5v5,146,108,75,6,6.6542585654
OTT,All Situations,169,126,89,9,9.949594854399999
STL,5v5,161,103,72,5,6.510509829467393
STL,All Situations,210,143,100,10,10.90023140791403
T.B,5v5,173,127,75,7,6.837332039837573
T.B,All Situations,240,174,110,12,11.533063820057727
TOR,5v5,136,93,63,3,4.9839333842
TOR,All Situations,180,123,79,3,9.3199051992
VGK,5v5,163,117,88,7,7.01074924234
VGK,All Situations,186,137,102,12,9.62770053034
WPG,5v5,197,128,82,6,7.3180658337846936
WPG,All Situations,231,154,101,10,10.966491396408456
WSH,5v5,161,114,66,9,8.2328130859
WSH,All Situations,207,146,86,12,11.7746309919
