game_id,winner,how,date,home_team,away_team,state,matchup,game
2024020050,CAR,regulation,2024-10-15,CAR,N.J,Final,N.J @ CAR,
2024020077,DAL,regulation,2024-10-19,DAL,EDM,Final,EDM @ DAL,
2024020099,WPG,regulation,2024-10-22,STL,WPG,Final,WPG @ STL,
2024020164,WSH,regulation,2024-10-31,WSH,MTL,Final,MTL @ WSH,
2024020188,CAR,regulation,2024-11-03,CAR,WSH,Final,WSH @ CAR,
2024020207,VGK,regulation,2024-11-06,EDM,VGK,Final,VGK @ EDM,
2024020230,WPG,regulation,2024-11-09,WPG,DAL,Final,DAL @ WPG,
2024020245,OTT,regulation,2024-11-12,TOR,OTT,Final,OTT @ TOR,
2024020309,N.J,regulation,2024-11-21,N.J,CAR,Final,CAR @ N.J,
2024020352,FLA,regulation,2024-11-27,FLA,TOR,Final,TOR @ FLA,
2024020367,FLA,regulation,2024-11-29,CAR,FLA,Final,FLA @ CAR,
2024020373,DAL,regulation,2024-11-29,DAL,COL,Final,COL @ DAL,
2024020377,FLA,regulation,2024-11-30,FLA,CAR,Final,CAR @ FLA,
2024020391,DAL,regulation,2024-12-01,DAL,WPG,Final,WPG @ DAL,
2024020403,STL,regulation,2024-12-03,WPG,STL,Final,STL @ WPG,
2024020405,VGK,regulation,2024-12-03,VGK,EDM,Final,EDM @ VGK,
2024020430,WSH,regulation,2024-12-07,MTL,WSH,Final,WSH @ MTL,
2024020477,EDM,regulation,2024-12-14,EDM,VGK,Final,VGK @ EDM,
2024020493,VGK,regulation,2024-12-15,MIN,VGK,Final,VGK @ MIN,
2024020524,WSH,regulation,2024-12-20,WSH,CAR,Final,CAR @ WSH,
2024020540,FLA,regulation,2024-12-22,T.B,FLA,Final,FLA @ T.B,
2024020549,T.B,regulation,2024-12-23,FLA,T.B,Final,T.B @ FLA,
2024020560,N.J,regulation,2024-12-27,N.J,CAR,Final,CAR @ N.J,
2024020569,L.A,overtime,2024-12-28,L.A,EDM,Final,EDM @ L.A,
2024020573,CAR,regulation,2024-12-28,CAR,N.J,Final,N.J @ CAR,
2024020603,CAR,regulation,2025-01-02,FLA,CAR,Final,CAR @ FLA,
2024020665,MTL,overtime,2025-01-10,WSH,MTL,Final,MTL @ WSH,
2024020688,VGK,regulation,2025-01-12,VGK,MIN,Final,MIN @ VGK,
2024020691,EDM,regulation,2025-01-13,EDM,L.A,Final,L.A @ EDM,
2024020724,COL,regulation,2025-01-18,COL,DAL,Final,DAL @ COL,
2024020780,OTT,regulation,2025-01-25,OTT,TOR,Final,TOR @ OTT,
2024020903,WPG,shootout,2025-02-22,STL,WPG,Final,WPG @ STL,
2024020969,FLA,regulation,2025-03-03,FLA,T.B,Final,T.B @ FLA,
2024021011,EDM,regulation,2025-03-08,EDM,DAL,Final,DAL @ EDM,
2024021040,FLA,regulation,2025-03-13,TOR,FLA,Final,FLA @ TOR,
2024021051,WPG,regulation,2025-03-14,WPG,DAL,Final,DAL @ WPG,
2024021059,OTT,regulation,2025-03-15,TOR,OTT,Final,OTT @ TOR,
2024021067,COL,overtime,2025-03-16,COL,DAL,Final,DAL @ COL,
2024021134,VGK,regulation,2025-03-25,MIN,VGK,Final,VGK @ MIN,
2024021141,DAL,regulation,2025-03-26,EDM,DAL,Final,DAL @ EDM,
2024021189,EDM,regulation,2025-04-01,VGK,EDM,Final,EDM @ VGK,
2024021193,CAR,regulation,2025-04-02,CAR,WSH,Final,WSH @ CAR,
2024021194,TOR,regulation,2025-04-02,TOR,FLA,Final,FLA @ TOR,
2024021213,L.A,regulation,2025-04-05,L.A,EDM,Final,EDM @ L.A,
2024021231,WPG,regulation,2025-04-07,WPG,STL,Final,STL @ WPG,
2024021237,FLA,regulation,2025-04-08,FLA,TOR,Final,TOR @ FLA,
2024021255,WPG,regulation,2025-04-10,DAL,WPG,Final,WPG @ DAL,
2024021289,L.A,regulation,2025-04-14,EDM,L.A,Final,L.A @ EDM,
2024021294,T.B,regulation,2025-04-15,T.B,FLA,Final,FLA @ T.B,
2024030111,TOR,regulation,2025-04-20,TOR,OTT,Final,OTT @ TOR,1.0
2024030112,TOR,overtime,2025-04-22,TOR,OTT,Final,OTT @ TOR,2.0
2024030113,TOR,overtime,2025-04-24,OTT,TOR,Final,OTT @ TOR,3.0
2024030114,OTT,overtime,2025-04-26,OTT,TOR,Final,OTT @ TOR,4.0
2024030115,OTT,regulation,2025-04-29,TOR,OTT,Final,OTT @ TOR,5.0
2024030116,TOR,regulation,2025-05-01,OTT,TOR,Final,OTT @ TOR,6.0
2024030121,FLA,regulation,2025-04-22,T.B,FLA,Final,FLA @ TBL,1.0
2024030122,FLA,regulation,2025-04-24,T.B,FLA,Final,FLA @ TBL,2.0
2024030123,T.B,regulation,2025-04-26,FLA,T.B,Final,FLA @ TBL,3.0
2024030124,FLA,regulation,2025-04-28,FLA,T.B,Final,FLA @ TBL,4.0
2024030125,FLA,regulation,2025-04-30,T.B,FLA,Final,FLA @ TBL,5.0
2024030131,WSH,overtime,2025-04-21,WSH,MTL,Final,MTL @ WSH,1.0
2024030132,WSH,regulation,2025-04-23,WSH,MTL,Final,MTL @ WSH,2.0
2024030133,MTL,regulation,2025-04-25,MTL,WSH,Final,MTL @ WSH,3.0
2024030134,WSH,regulation,2025-04-27,MTL,WSH,Final,MTL @ WSH,4.0
2024030135,WSH,regulation,2025-04-30,WSH,MTL,Final,MTL @ WSH,5.0
2024030141,CAR,regulation,2025-04-20,CAR,N.J,Final,CAR @ NJD,1.0
2024030142,CAR,regulation,2025-04-22,CAR,N.J,Final,CAR @ NJD,2.0
2024030143,N.J,overtime,2025-04-25,N.J,CAR,Final,CAR @ NJD,3.0
2024030144,CAR,regulation,2025-04-27,N.J,CAR,Final,CAR @ NJD,4.0
2024030145,CAR,overtime,2025-04-29,CAR,N.J,Final,CAR @ NJD,5.0
2024030151,WPG,regulation,2025-04-19,WPG,STL,Final,STL @ WPG,1.0
2024030152,WPG,regulation,2025-04-21,WPG,STL,Final,STL @ WPG,2.0
2024030153,STL,regulation,2025-04-24,STL,WPG,Final,STL @ WPG,3.0
2024030154,STL,regulation,2025-04-27,STL,WPG,Final,STL @ WPG,4.0
2024030155,WPG,regulation,2025-04-30,WPG,STL,Final,STL @ WPG,5.0
2024030156,STL,regulation,2025-05-02,STL,WPG,Final,STL @ WPG,6.0
2024030157,WPG,overtime,2025-05-04,WPG,STL,Final,STL @ WPG,7.0
2024030161,COL,regulation,2025-04-19,DAL,COL,Final,COL @ DAL,1.0
2024030162,DAL,overtime,2025-04-21,DAL,COL,Final,COL @ DAL,2.0
