goalie_against,team,game_id,round,game_date,GSAx
CONNOR HELLEBUYCK,WPG,2024030151,1,2025-04-19,-1.8410376097999999
MACKENZIE BLACKWOOD,COL,2024030161,1,2025-04-19,2.3810154253999998
JORDAN BINNINGTON,STL,2024030151,1,2025-04-19,-1.9558657739999998
JAKE OETTINGER,DAL,2024030161,1,2025-04-19,-1.005670513
FREDERIK ANDERSEN,CAR,2024030141,1,2025-04-20,0.8261440415000001
ADIN HILL,VGK,2024030171,1,2025-04-20,0.3073644147999999
ANTHONY STOLARZ,TOR,2024030111,1,2025-04-20,1.1508384018000002
JACOB MARKSTROM,N.J,2024030141,1,2025-04-20,1.1032407155300001
FILIP GUSTAVSSON,MIN,2024030171,1,2025-04-20,-0.45713329830000005
LINUS ULLMARK,OTT,2024030111,1,2025-04-20,-2.7401382077
CONNOR HELLEBUYCK,WPG,2024030152,1,2025-04-21,0.9832684808000001
STUART SKINNER,EDM,2024030181,1,2025-04-21,-3.0104171328
LOGAN THOMPSON,WSH,2024030131,1,2025-04-21,1.0548374465
MACKENZIE BLACKWOOD,COL,2024030162,1,2025-04-21,0.36942452869999975
JORDAN BINNINGTON,STL,2024030152,1,2025-04-21,0.8525847438
DARCY KUEMPER,L.A,2024030181,1,2025-04-21,-2.108465771
JAKE OETTINGER,DAL,2024030162,1,2025-04-21,-0.4606568524000001
SAM MONTEMBEAULT,MTL,2024030131,1,2025-04-21,1.1955225624999999
ADIN HILL,VGK,2024030172,1,2025-04-22,-1.7007346882999999
ANTHONY STOLARZ,TOR,2024030112,1,2025-04-22,0.6627284000000002
JACOB MARKSTROM,N.J,2024030142,1,2025-04-22,2.3863099059
FREDERIK ANDERSEN,CAR,2024030142,1,2025-04-22,3.0392849638
ANDREI VASILEVSKIY,T.B,2024030121,1,2025-04-22,-3.9588413394
SERGEI BOBROVSKY,FLA,2024030121,1,2025-04-22,-0.03656185610000007
FILIP GUSTAVSSON,MIN,2024030172,1,2025-04-22,0.9042559670000001
LINUS ULLMARK,OTT,2024030112,1,2025-04-22,-1.1773393455999999
DARCY KUEMPER,L.A,2024030182,1,2025-04-23,-0.40371280220000005
JAKE OETTINGER,DAL,2024030163,1,2025-04-23,2.6772065542
STUART SKINNER,EDM,2024030182,1,2025-04-23,-2.2099925635
MACKENZIE BLACKWOOD,COL,2024030163,1,2025-04-23,0.9954604710999999
SAM MONTEMBEAULT,MTL,2024030132,1,2025-04-23,0.9514188204999998
LOGAN THOMPSON,WSH,2024030132,1,2025-04-23,2.0547241792
CALVIN PICKARD,EDM,2024030182,1,2025-04-23,-0.7122229686
SERGEI BOBROVSKY,FLA,2024030122,1,2025-04-24,2.2089781641
AKIRA SCHMID,VGK,2024030173,1,2025-04-24,1.053451998
