team,xGF,xGA,FF,FA,CF,CA,GF,GA,finishing,goaltending,PP,PK
ANA,4,32,3,29,4,27,4,28,14,27,14,28
BOS,15,31,11,25,12,32,15,31,15,17,12,11
BUF,6,30,7,31,11,31,24,25,27,3,9,2
CAR,1,10,1,7,2,7,1,20,11,18,31,6
CBJ,11,22,6,26,6,23,10,1,19,2,18,32
CGY,30,1,12,4,9,8,32,27,32,29,28,21
CHI,19,26,20,28,27,21,5,7,3,4,22,12
COL,2,11,2,6,1,6,3,10,22,10,30,8
DAL,20,12,28,19,29,19,22,17,21,28,3,30
DET,13,14,8,14,10,14,25,29,26,26,18,4
EDM,27,9,27,5,28,10,27,13,18,20,6,13
FLA,5,7,16,16,16,11,30,16,31,21,10,15
L.A,31,5,24,12,19,13,29,6,13,25,7,29
MIN,24,24,19,21,17,25,31,15,25,14,4,26
MTL,14,18,26,11,23,15,6,19,9,19,22,18
N.J,7,19,5,13,5,16,7,18,2,9,32,5
NSH,9,23,13,18,8,12,20,21,30,12,5,3
NYI,25,29,15,23,18,26,2,23,5,15,18,19
NYR,17,4,14,10,13,9,28,3,28,6,25,9
OTT,16,13,18,2,14,1,21,24,17,30,14,31
PHI,21,3,30,3,30,4,23,11,24,11,27,10
PIT,8,25,21,20,20,24,16,4,8,5,1,17
S.J,28,27,31,32,31,29,19,32,4,31,11,27
SEA,29,20,29,24,25,28,26,5,16,16,13,24
STL,12,8,23,15,21,5,17,30,12,32,18,23
T.B,10,21,10,27,15,20,18,26,23,23,18,7
TOR,23,16,22,17,22,18,11,22,10,22,28,14
UTA,18,15,17,1,24,2,8,8,7,13,21,19
VAN,26,28,25,30,26,30,12,9,20,8,26,15
VGK,22,6,9,8,7,17,9,12,1,24,2,22
WPG,32,17,32,22,32,22,14,14,6,1,8,1
WSH,3,2,4,9,3,3,13,2,29,7,24,25
