,player,Pos
0,A.J. GREER,F
1,AARON EKBLAD,D
2,AATU RATY,F
3,ADAM BOQVIST,D
4,ADAM EDSTROM,F
5,ADAM FANTILLI,F
6,ADAM FOX,D
7,ADAM GAUDETTE,F
9,ADAM HENRIQUE,F
10,ADAM KLAPKA,F
11,ADAM LARSSON,D
12,ADAM LOWRY,F
13,ADAM PELECH,D
14,ADAM WILSBY,D
15,ADRIAN KEMPE,F
16,AKIL THOMAS,F
17,ALBERT JOHANSSON,D
18,ALEC MARTINEZ,D
19,ALEKSANDER BARKOV,F
22,ALEX CARRIER,D
23,ALEX DEBRINCAT,F
24,ALEX HOLTZ,F
25,ALEX IAFALLO,F
26,ALEX KERFOOT,F
27,ALEX KILLORN,F
28,ALEX LAFERRIERE,F
29,ALEX NEWHOOK,F
31,ALEX OVECHKIN,F
33,ALEX PIETRANGELO,D
34,ALEX ROMANOV,D
36,ALEX TEXIER,F
37,ALEX TUCH,F
38,ALEX TURCOTTE,F
39,ALEX VLASIC,D
40,ALEX WENNBERG,F
41,ALEXEY TOROPCHENKO,F
42,ALEXIS LAFRENIERE,F
43,ALIAKSEI PROTAS,F
44,ANDERS LEE,F
45,ANDRE BURAKOVSKY,F
48,ANDREAS ENGLUND,D
49,ANDREI KUZMENKO,F
50,ANDREI SVECHNIKOV,F
51,ANDREW COPP,F
52,ANDREW MANGIAPANE,F
53,ANDREW PEEKE,D
56,ANTHONY BEAUVILLIER,F
57,ANTHONY CIRELLI,F
58,ANTHONY DUCLAIR,F
62,ANTON LUNDELL,F
63,ANZE KOPITAR,F
64,ARBER XHEKAJ,D
66,ARTEM ZUB,D
67,ARTEMI PANARIN,F
70,ARTTURI LEHKONEN,F
71,ARTYOM LEVSHUNOV,D
73,AUSTON MATTHEWS,F
75,BARCLAY GOODROW,F
76,BARRETT HAYTON,F
77,BECK MALENSTYN,F
78,BEN CHIAROT,D
80,BEN JONES,F
82,BLAKE COLEMAN,F
83,BLAKE LIZOTTE,F
84,BO HORVAT,F
85,BOBBY BRINK,F
86,BOBBY MCMANN,F
88,BOONE JENNER,F
89,BOWEN BYRAM,D
91,BRAD MARCHAND,F
92,BRADEN SCHNEIDER,D
94,BRADY SKJEI,D
95,BRADY TKACHUK,F
96,BRANDON CARLO,D
97,BRANDON DUHAIME,F
98,BRANDON HAGEL,F
99,BRANDON MONTOUR,D
100,BRANDON SAAD,F
101,BRANDON TANEV,F
