player,team,position,scouting_report
Leo Carlsson,Anaheim Ducks,Forward,"A developing two-way forward who has already shown a balanced and efficient skillset. Focuses on creating offence in the slot, he takes and setting up very few shots from the perimeter and using his skating and handling ability to transports the puck to dangerous areas of the ice. A crafty and creative player with the puck on his stick, where he makes quality plays in transition, uses his hands to take on defenders one-on-one, and rarely turns over the puck, and without it where he cleanly steals it from opponents. Not a checker despite his size and still a bit timid to get involved physically on the boards, but not afraid to go to the net."
Robby Fabbri,Anaheim Ducks,Forward,"A complementary depthwinger who gets to the net and scores with some efficiency but otherwise exerts a limited impact on the game. Skating and turnovers are an issue, and while he shows flashes of skill with the puck he spends very little time with it on his stick. Offers a bit of physicality and forechecking but plays a very slow game and has struggled defensively throughout his career."
Alex Killorn,Anaheim Ducks,Forward,"A veteran utility winger who can kill penalties and do some of the hard work in the defensive zone while putting the puck in the net at a solid rate. Not exactly speedy at this point in his career, but maintains solid offensive instincts and skills that make him a reasonable complementary piece on either wing."
Chris Kreider,Anaheim Ducks,Forward,"A veteran scoring winger who terrorizes goalies in the front of the net with deflections, rebounds, and other shots from the inner slot. Separates himself from other crease crashers and screeners with a strong finishing touch and great mobility which allows him to be a threat to score and distribute the puck in transition as well -- not a lot of guys who play the way he does get as many breakaways. Nonetheless spends relatively little time with the puck on his stick, and as his skating declines the powerplay will likely be even more of a core part of his production than it is now."
Brock McGinn,Anaheim Ducks,Forward,A veteran fourth line winger who can be a speedy puck retriever without the puck but offers limited value with it. Willing to play a simple dump-and-chase game in transition and get to the net but not particularly creative outside of a defensive role.
Mason McTavish,Anaheim Ducks,Forward,"A developing shoot-first net-front player who uses his strong frame to gain position and jump on rebounds in the slot. Produces well and flashes high-end skill with small area plays but not yet having the overall impact on the game expected of his junior career, particularly defensively and along the boards where he hasn’t been able to assert himself. A low-workload transition player who prefers to carry the puck than pass it and must learn to overcome slow speed."
Ryan Strome,Anaheim Ducks,Forward,"A veteran playmaking winger whose effectiveness outside of creating opportunities for his linemates has diminished significantly. An average finisher who doesn’t shoot the puck much, a questionable defender despite often playing centre, one of the slowest skaters in the league, and a constant committer of stick infractions, his passing ability is rapidly getting overshadowed."
Troy Terry,Anaheim Ducks,Forward,"A creative dangling winger whose love of carrying the puck in transition and challenging defenders one-on-one is matched only by his absolute disinterest in throwing body-checks. Dominant with the puck on his stick at 5-on-5 and deadly off the rush, he’s showed tremendous upside as a scoring-chance creator but has been more sizzle than steak in the past two seasons. That said, his solid puck management and possession game combined with a near-league-best penalty differential pay strong dividends for the Ducks."
Frank Vatrano,Anaheim Ducks,Forward,"A middle-six scoring winger with strong physicality and skating. One-dimensional offensively, shooting the puck from the outer slot at a high frequency (often off the counter-attack) and finishing well too. Decent at separating opponents from the puck and can use his speed to chase hits, but otherwise uninvolved without the puck and not much of a battler or forechecker."
Radko Gudas,Anaheim Ducks,Defence,"A physical beast of a defensive defenceman who protects the front of the net and throws devastating body checks (often with questionable legality) with relish and great frequency. Happy to stand up opposing forwards entering the zone. Much more limited offensively, and while he can toss out the odd stretch pass his impact in transition is usually limited to chipping pucks off the glass. Possesses one of the hardest slap shots in the game and uses it often; adventures deeper in the offensive zone than the point are much rarer."
