team
ANAHEIM DUCKS
BOSTON BRUINS
BUFFALO SABRES
CAROLINA HURRICANES
COLUMBUS BLUE JACKETS
CALGARY FLAMES
CHICAGO BLACKHAWKS
COLORADO AVALANCHE
DALLAS STARS
DETROIT RED WINGS
EDMONTON OILERS
FLORIDA PANTHERS
LOS ANGELES KINGS
MINNESOTA WILD
MONTREAL CANADIENS
NEW JERSEY DEVILS
NASHVILLE PREDATORS
NEW YORK ISLANDERS
NEW YORK RANGERS
OTTAWA SENATORS
PHILADELPHIA FLYERS
PITTSBURGH PENGUINS
SAN JOSE SHARKS
SEATTLE KRAKEN
ST LOUIS BLUES
TAMPA BAY LIGHTNING
TORONTO MAPLE LEAFS
UTAH HOCKEY CLUB
VANCOUVER CANUCKS
VEGAS GOLDEN KNIGHTS
WINNIPEG JETS
WASHINGTON CAPITALS
